Sr#,Sample Code,E.C,pH,Turbidity,TDS,Ca,Mg,Cl,Na,K,Fe,F,Al,As,Ba,Cd,Co,Cr,Cu,Mn,Mo,Ni,Pb,Sr,Zn
31,SKA-11,229,7.9,15.43,0,24,12,110,8,BDL,126,0.58,,,,,,,,,,,,,
32,SKA-12,130,7.9,0.78,0,16,7,70,BDL,BDL,72,0,7.87,1.83,11.35,BDL,1.22,BDL,2.02,0.02,1.79,BDL,3.23,57.15,5.57
33,SKA-13,284,7.8,1.98,0.32,36,12,140,BDL,3,156,0.41,,,,,,,,,,,,,
34,SKA-14,1093,7,BDL,0.33,160,17,470,19,33,601,0.56,8.84,10.66,6.9,BDL,0.93,BDL,1.4,0.14,5.26,BDL,BDL,77.88,BDL
35,SKA-15,179,7.9,85,0.05,24,5,80,BDL,3,99,0.48,,,,,,,,,,,,,
36,GZR-01,141,8.1,1.7,0.59,20,5,70,BDL,0,77.55,0,19.81,7,5.66,0.07,BDL,BDL,BDL,0.43,4.48,BDL,BDL,BDL,BDL
37,GZR-02,203,7.9,2.8,0.55,24,7,90,BDL,5,111.65,0,,,,,,,,,,,,,
38,GZR-03,83,7.3,BDL,0.44,12,2,40,7,0,45.65,0,11.93,BDL,2.55,BDL,BDL,BDL,BDL,BDL,4.78,BDL,BDL,BDL,BDL
39,GZR-04,136,7.2,BDL,0.42,12,10,70,BDL,0,74.8,0,,,,,,,,,,,,,
40,GZR-05,75,7.4,BDL,0.6,8,5,40,4,0,41.25,0,6.03,BDL,4.19,BDL,BDL,BDL,BDL,BDL,1.32,BDL,BDL,BDL,BDL
41,GZR-06,66,6.5,4.15,0.5,8,2,30,BDL,0,36.3,0,,,,,,,,,,,,,
42,GZR-07,118,7.4,4.5,0.52,12,7,60,4,0,64.9,0,11.58,1.3,1.01,BDL,0.36,BDL,BDL,BDL,3.74,BDL,BDL,BDL,BDL
43,GZR-08,242,7.2,16,0.38,28,7,100,BDL,5,133.1,0,,,,,,,,,,,,,
44,GZR-09,220,7.8,7.1,0.54,28,7,100,BDL,0,121,0,30.4,2.2,2.3,BDL,0.36,BDL,BDL,BDL,1.13,1.02,BDL,BDL,BDL
45,GZR-10,528,7.9,BDL,0.95,52,17,200,10,24,290.4,0,,,,,,,,,,,,,
46,GZR-11,230,7.7,BDL,0.77,28,7,100,4,4,126.5,0,10.11,BDL,5.16,BDL,0.73,BDL,BDL,BDL,6,BDL,BDL,BDL,BDL
47,GZR-12,462,6.9,BDL,0.75,48,19,200,20,11,254.1,0,,,,,,,,,,,,,
48,GZR-13,415,6.9,BDL,0.68,56,10,180,10,8,228.25,0,8.89,BDL,12.17,BDL,BDL,BDL,BDL,BDL,3.12,BDL,BDL,BDL,BDL
49,GZR-14,102,7.5,BDL,0.44,12,5,50,6,2,56.1,0,,,,,,,,,,,,,
50,GZR-15,78,7.4,BDL,0.41,8,5,40,4,0,42.9,0,9.98,BDL,5.2,BDL,0.03,BDL,BDL,BDL,1.07,BDL,BDL,BDL,BDL
51,GZR-16,119,7.6,BDL,0.37,20,5,70,BDL,0,65.45,0,,,,,,,,,,,,,
52,GZR-17,152,7.7,BDL,0.19,20,7,80,4,0,83.6,0,8.89,0.9,4.23,BDL,BDL,BDL,BDL,BDL,6.77,BDL,BDL,BDL,BDL
53,GZR-18,288,7.6,BDL,0.17,40,2,110,BDL,3,158.4,0,,,,,,,,,,,,,
54,GZR-19,79,7.2,BDL,0.34,12,2,40,4,0,43.45,0,5.62,0.7,2.54,0,0.38,BDL,BDL,BDL,4.56,BDL,BDL,BDL,BDL
55,HUN-01,497,8.1,1.2,0,40,36,250,BDL,4,273.35,0.09,,,,,,,,,,,,,
56,HUN-02,559,7.8,BDL,0.05,48,36,270,BDL,4,307.45,0,10.56,0.5,13.24,BDL,1.1,BDL,BDL,BDL,1.95,BDL,BDL,BDL,BDL
57,HUN-03,294,7.7,BDL,0,28,17,140,BDL,3,161.7,0,,,,,,,,,,,,,
58,HUN-04,165,7.8,BDL,0.02,20,7,80,BDL,3,90.75,0,9.9,9.5,3.7,BDL,BDL,BDL,BDL,BDL,18.53,BDL,BDL,BDL,BDL
59,HUN-05,346,7.7,BDL,0.16,48,2,130,4,11,190.3,0.36,,,,,,,,,,,,,
60,HUN-06,244,7.9,13.8,0.17,28,12,120,4,4,134.2,0,52.65,4.4,8.29,BDL,BDL,BDL,BDL,0.35,5.82,BDL,BDL,BDL,BDL
61,HUN-07,362,7.8,1.35,0.16,56,5,160,BDL,4,199.1,0,,,,,,,,,,,,,
62,HUN-08,164,7.6,6.8,2.11,12,10,70,BDL,2,90.2,0.5,1487.16,BDL,70.98,0.42,BDL,BDL,BDL,46.89,6.26,0.35,BDL,BDL,BDL
63,HUN-09,141,7.8,352,2.27,12,7,60,BDL,2,77.55,0.39,,,,,,,,,,,,,
64,HUN-10,275,7.7,BDL,0.06,28,12,120,BDL,0,151.25,0,9.7,21,1.67,BDL,0.1,BDL,BDL,0.48,2.92,BDL,BDL,BDL,BDL
65,HUN-11,181,8,83,0.48,12,15,90,6,0,99.55,0.21,,,,,,,,,,,,,
66,HUN-12,174,7.9,BDL,0.03,24,5,80,BDL,0,95.7,0,11.65,15.8,15.59,0.05,0.76,BDL,BDL,BDL,4.6,BDL,BDL,BDL,BDL
67,HUN-13,365,7.9,BDL,0.06,40,12,150,BDL,3,200.75,0,,,,,,,,,,,,,
68,HUN-14,386,7.9,BDL,0.03,28,24,170,BDL,8,212.3,0,12.65,1.8,23.04,0.17,0.57,BDL,BDL,BDL,6.48,BDL,BDL,BDL,BDL
69,HUN-15,329,7.8,BDL,0,24,22,150,4,5,180.95,0,,,,,,,,,,,,,
70,HUN-16,100,7.9,BDL,0,16,2,50,BDL,0,55,0.55,130.71,0.07,9.21,0.26,BDL,BDL,BDL,1.95,1.38,BDL,BDL,BDL,BDL
71,HUN-17,200,7.9,15.76,0.07,28,5,90,BDL,0,110,0.12,,,,,,,,,,,,,
