SITE_NO,DATE_TIME_HEURE,ALUMINUM DISSOLVED,ALUMINUM TOTAL RECOVERABLE,AMMONIA DISSOLVED,ANTIMONY DISSOLVED,ANTIMONY TOTAL RECOVERABLE,ARSENIC DISSOLVED,ARSENIC TOTAL RECOVERABLE,BARIUM DISSOLVED,BARIUM TOTAL RECOVERABLE,BROMIDE,CADMIUM DISSOLVED,CADMIUM TOTAL RECOVERABLE,CALCIUM DISSOLVED,CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CHLORIDE DISSOLVED,CHLOROPHYLL A,CHROMIUM DISSOLVED,CHROMIUM TOTAL RECOVERABLE,COBALT DISSOLVED,COBALT TOTAL RECOVERABLE,COPPER  TOTAL RECOVERABLE,COPPER DISSOLVED,DISSOLVED NITROGEN NITRATE,FLUORIDE DISSOLVED,IRON DISSOLVED,IRON TOTAL RECOVERABLE,LEAD DISSOLVED,LEAD TOTAL RECOVERABLE,LITHIUM DISSOLVED,LITHIUM TOTAL RECOVERABLE,MAGNESIUM DISSOLVED,MANGANESE DISSOLVED,MANGANESE TOTAL RECOVERABLE,MERCURY DISSOLVED,MERCURY TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM TOTAL RECOVERABLE,NICKEL  TOTAL RECOVERABLE,NICKEL DISSOLVED,NITRATE AND NITRITE (AS N),NITROGEN DISSOLVED NITRITE,NITROGEN NITRITE,NITROGEN PARTICULATE ORGANIC,NITROGEN TOTAL,"NITROGEN, NITRATE",ORTHOPHOSPHATE DISSOLVED,PHOSPHATE (AS P),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,POTASSIUM DISSOLVED/FILTERED,SELENIUM DISSOLVED,SELENIUM TOTAL RECOVERABLE,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL RECOVERABLE,SODIUM DISSOLVED/FILTERED,STRONTIUM DISSOLVED,STRONTIUM TOTAL RECOVERABLE,SULPHATE DISSOLVED,SULPHUR PARTICULATE,TOTAL SUSPENDED SOLIDS (NON-FILTERABLE RESIDUES OR TOTAL SUSPENDED MATERIALS),TURBIDITY,VANADIUM DISSOLVED,VANADIUM TOTAL RECOVERABLE,ZINC DISSOLVED,ZINC TOTAL RECOVERABLE
QU02LB9001,2016-12-13 10:00,28.1,329.0,0.07,0.05,0.05,0.333,0.44,12.9,16.9,,0.007,0.01,,6.74,0.4,7.73,1.31,0.244,0.89,0.03,0.16,1.3,1.02,0.41,,73.8,452.0,0.03,0.2,0.7,,,2.32,12.3,0.91,1.47,0.27,0.3,0.9,0.57,,0.166,,0.04,0.74,,0.005,,0.025,0.012,,0.089,0.1,,0.002,0.005,,66.7,,7.89,0.09,6.0,6.2,0.237,,0.73,1.7
QU02LB9001,2017-01-26 11:20,56.1,218.0,0.062,0.05,0.05,0.366,0.44,13.7,15.7,,0.007,0.01,,6.6,0.21,9.0,0.37,0.314,0.59,0.04,0.09,1.1,0.98,0.338,,121.0,291.0,0.05,0.12,0.6,0.6,,2.7,9.7,1.1,1.56,0.23,0.24,0.68,0.557,,0.213,,0.03,0.67,,0.018,,0.019,0.013,,0.089,0.1,,0.002,0.005,,60.0,61.6,7.11,0.09,2.0,2.6,0.249,0.54,1.03,1.3
QU02LB9001,2017-02-23 10:30,48.4,220.0,0.066,0.04,0.05,0.383,0.45,13.0,16.1,,0.008,0.01,,6.54,0.27,6.26,0.2,0.297,0.61,0.04,0.1,1.1,0.99,0.226,,112.0,298.0,0.04,0.13,0.5,0.6,,2.5,9.5,1.06,1.57,0.21,0.22,0.71,0.568,,0.055,,0.03,0.45,,0.029,,0.019,0.014,,0.073,0.08,,0.002,0.005,,53.5,51.1,6.16,0.09,2.0,3.2,0.218,0.49,1.6,1.5
QU02LB9001,2017-03-21 10:00,40.5,322.0,0.055,0.04,0.05,0.304,0.42,13.9,17.5,0.07,0.006,0.01,,6.93,0.25,6.68,0.36,0.229,0.74,0.04,0.13,1.2,0.9,,0.05,83.0,382.0,0.03,0.19,0.5,0.7,,2.5,10.7,1.25,2.02,0.2,0.22,0.77,0.519,0.26,,0.006,0.03,0.89,0.26,0.038,0.07,0.033,0.017,,0.069,0.08,,0.002,0.005,,55.9,56.6,6.38,0.09,3.0,4.3,0.195,0.66,1.16,1.7
QU02LB9001,2017-04-03 09:40,29.1,554.0,0.08,0.05,0.05,0.299,0.44,15.6,22.5,0.07,0.008,0.02,,6.67,0.53,11.7,0.58,0.209,1.29,0.04,0.24,1.5,0.97,,0.05,66.9,602.0,0.03,0.27,0.5,1.0,,2.57,13.5,1.22,2.19,0.28,0.31,1.14,0.541,0.36,,0.006,0.09,0.82,0.36,0.038,0.07,0.033,0.027,,0.073,0.1,,0.002,0.005,,78.6,80.6,7.57,0.24,93.0,12.0,0.219,1.11,1.02,2.8
QU02LB9001,2017-04-20 10:00,31.5,1000.0,0.026,0.04,0.05,0.229,0.39,12.9,25.7,0.07,0.005,0.02,,7.66,0.58,5.83,1.17,0.199,2.0,0.05,0.47,1.9,0.87,,0.05,64.4,1080.0,0.03,0.54,0.4,1.1,,3.28,32.4,1.46,3.35,0.21,0.22,1.71,0.56,0.23,,0.006,0.02,0.58,0.23,0.043,0.07,0.05,0.017,,0.066,0.08,,0.002,0.006,,54.3,62.0,5.41,0.09,22.0,21.0,0.271,2.07,0.98,4.7
QU02LB9001,2017-05-10 09:50,36.1,1230.0,0.02,0.04,0.05,0.246,0.43,12.1,28.7,0.07,0.006,0.02,,7.55,0.59,5.19,1.0,0.226,2.5,0.04,0.57,2.2,0.95,,0.05,68.6,1330.0,0.04,0.75,0.4,1.4,,1.98,34.4,1.81,4.33,0.23,0.23,1.95,0.507,0.27,,0.006,0.02,0.66,0.27,0.058,0.07,0.068,0.022,,0.078,0.09,,0.002,0.009,,54.1,65.3,5.19,0.09,27.0,27.0,0.364,2.6,0.61,6.1
QU02LB9001,2017-05-29 09:15,44.2,344.0,0.018,0.04,0.04,0.264,0.36,12.6,16.7,0.07,0.005,0.02,,6.98,0.43,3.72,1.7,0.249,0.86,0.03,0.17,1.3,0.91,,0.05,81.1,413.0,0.05,0.25,0.4,0.7,,1.35,15.2,1.71,2.69,0.17,0.19,0.9,0.53,0.14,,0.006,0.08,0.44,0.14,0.042,0.07,0.026,0.013,,0.067,0.08,,0.002,0.005,,43.3,,4.52,0.12,6.0,6.0,0.302,0.84,1.06,2.1
QU02LB9001,2017-06-28 09:40,35.2,330.0,0.023,0.04,0.05,0.341,0.43,13.1,17.2,0.07,0.006,0.01,8.78,6.54,0.25,3.75,1.35,0.254,0.84,0.03,0.14,1.2,0.96,,0.05,86.5,393.0,0.05,0.23,0.4,0.7,2.04,1.35,17.4,1.18,1.95,0.2,0.22,0.86,0.623,,,,0.04,0.49,,0.059,,0.022,0.01,0.67,0.07,0.08,5.29,0.002,0.005,3.32,46.5,,4.37,0.09,5.0,5.7,0.355,0.86,1.02,1.8
QU02LB9001,2017-07-24 09:55,35.7,185.0,0.012,0.05,0.05,0.369,0.41,15.9,18.6,0.07,0.01,0.01,,6.81,0.35,5.62,2.7,0.23,0.55,0.03,0.09,1.2,0.98,,0.05,106.0,272.0,0.06,0.15,0.6,0.7,,1.5,13.7,1.09,1.6,0.28,0.28,0.72,0.548,0.25,,0.006,0.11,0.65,0.25,0.021,0.07,0.018,0.009,,0.087,0.09,,0.002,0.005,,70.3,73.5,4.9,0.09,3.0,3.0,0.435,0.7,1.18,1.1
QU02LB9001,2017-08-22 09:35,24.2,164.0,0.02,0.05,0.05,0.386,0.44,16.2,18.6,,0.007,0.01,,6.72,0.18,5.59,1.79,0.21,0.56,0.02,0.09,1.2,1.0,0.207,,77.9,252.0,0.04,0.14,0.6,0.7,,1.04,13.3,0.82,1.28,0.32,0.32,0.71,0.538,,0.007,,0.04,0.54,,0.029,,0.018,0.01,,0.073,0.1,,0.002,0.005,,69.1,70.6,5.58,0.09,2.0,3.0,0.452,0.72,2.38,1.1
QU02LB9001,2017-09-14 09:45,32.7,209.0,0.022,0.05,0.05,0.385,0.45,14.3,16.6,,0.007,0.01,,7.07,0.25,,1.66,0.266,0.63,0.02,0.11,1.3,1.05,0.215,0.048,102.0,301.0,0.05,0.17,0.6,0.7,,1.39,22.2,0.74,1.28,0.26,0.27,0.8,0.56,,0.005,,0.07,0.53,,0.03,,0.017,0.009,,0.08,0.09,,0.002,0.005,,63.2,64.3,5.4,0.09,2.0,3.4,0.42,0.71,1.4,1.5
QU02LB9001,2017-10-17 09:25,33.5,216.0,0.037,0.05,0.05,0.403,0.46,12.9,15.3,,0.005,0.01,,6.55,0.16,4.09,0.64,0.282,0.69,0.01,0.08,1.2,1.02,0.195,,112.0,320.0,0.03,0.18,0.6,0.6,,1.8,14.1,0.81,1.19,0.22,0.23,0.77,0.541,,0.006,,0.04,0.5,,0.021,,0.018,0.013,,0.075,0.08,,0.002,0.005,,49.8,50.3,5.16,0.09,2.0,3.6,0.352,0.66,1.13,1.2
QU02LB9001,2017-11-06 09:35,21.2,2420.0,0.023,0.05,0.05,0.298,0.51,15.1,43.6,,0.006,0.02,,7.72,1.2,7.0,0.84,0.194,4.77,0.02,0.96,3.3,1.3,0.571,,63.1,2320.0,0.01,0.8,0.7,2.3,,1.45,46.7,1.21,2.8,0.35,0.33,3.19,0.611,,0.005,,0.24,1.05,,0.034,,0.083,0.028,,0.086,0.11,,0.002,0.008,,90.3,96.8,7.56,0.09,38.0,48.0,0.502,4.6,1.08,8.0
QU02LB9001,2017-12-12 11:00,34.6,338.0,0.05,0.04,0.04,0.314,0.42,14.8,18.6,,0.005,0.01,,7.22,0.11,5.67,0.77,0.24,0.91,0.01,0.13,1.2,0.86,0.299,,87.4,456.0,0.03,0.2,0.5,0.8,,2.18,11.7,0.96,1.6,0.22,0.24,0.9,0.5,,0.003,,0.34,0.63,,0.012,,0.02,0.011,,0.073,0.09,,0.002,0.005,,65.6,69.6,6.07,0.09,5.0,8.4,0.232,0.8,0.88,1.7
QU02LB9001,2018-01-09 10:05,51.1,447.0,0.063,0.04,0.05,0.335,0.43,13.1,19.9,,0.006,0.01,,7.35,0.09,3.67,0.33,0.282,0.92,0.01,0.21,1.4,0.86,0.188,0.043,115.0,586.0,0.04,0.25,0.4,1.0,,1.94,18.3,1.16,1.66,0.18,0.28,0.97,0.556,,0.002,,0.02,0.5,,0.014,,0.014,0.008,,0.073,0.1,,0.002,0.005,,44.2,85.4,5.07,0.09,2.0,2.5,0.207,1.03,1.22,2.3
QU02LB9001,2018-02-12 10:30,52.0,237.0,0.059,0.04,0.05,0.341,0.45,14.5,16.8,,0.007,0.01,,7.03,0.18,5.39,0.21,0.275,0.58,0.04,0.1,1.1,0.9,0.266,0.042,112.0,351.0,0.05,0.15,0.5,0.7,,1.76,10.4,1.02,1.54,0.17,0.19,0.76,0.599,,0.001,,0.05,0.57,,0.074,,0.014,0.009,,0.077,0.08,,0.002,0.005,,52.1,53.0,5.21,0.09,2.0,3.2,0.205,0.52,1.42,1.6
QU02LB9001,2018-03-14 09:45,39.9,277.0,0.07,0.04,0.04,0.332,0.45,14.3,17.8,,0.005,0.01,,6.54,0.22,10.9,0.37,0.241,0.69,0.04,0.12,1.1,0.85,0.313,0.046,92.6,383.0,0.06,0.16,0.5,0.8,,1.68,8.5,1.05,1.47,0.22,0.23,0.8,0.499,,0.001,,0.07,0.64,,0.025,,0.019,0.012,,0.078,0.09,,0.002,0.005,,70.9,75.6,5.97,0.09,2.0,4.3,0.214,0.63,0.62,1.6
