DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,ALKALINITY GRAN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,ALUMINUM TOTAL RECOVERABLE,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ANTIMONY TOTAL RECOVERABLE,ARSENIC EXTRACTABLE,ARSENIC TOTAL,ARSENIC TOTAL RECOVERABLE,BARIUM EXTRACTABLE,BARIUM TOTAL,BARIUM TOTAL RECOVERABLE,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BERYLLIUM TOTAL RECOVERABLE,BISMUTH TOTAL,BISMUTH TOTAL RECOVERABLE,BORON EXTRACTABLE,BORON TOTAL,BORON TOTAL RECOVERABLE,BROMIDE DISSOLVED,BROMINE DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CADMIUM TOTAL RECOVERABLE,CALCIUM DISSOLVED,CALCIUM TOTAL,CALCIUM TOTAL RECOVERABLE,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON TOTAL ORGANIC,"CARBON, TOTAL ORGANIC (NON PURGEABLE)",CERIUM TOTAL,CESIUM TOTAL,CHLORIDE,CHLORIDE DISSOLVED,CHLORIDE TOTAL,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,CHROMIUM TOTAL RECOVERABLE,COBALT EXTRACTABLE,COBALT TOTAL,COBALT TOTAL RECOVERABLE,COLOUR APPARENT,COLOUR TRUE,CONDUCTANCE (FIELD),CONDUCTIVITY,COPPER EXTRACTABLE,COPPER TOTAL,COPPER TOTAL RECOVERABLE,DEPTH OF SAMPLING FROM SURFACE,DISSOLVED NITROGEN NITRATE,EUROPIUM TOTAL,FLUORIDE DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM TOTAL,GALLIUM TOTAL RECOVERABLE,GERMANIUM TOTAL,HAFNIUM TOTAL,HARDNESS TOTAL (CALCD.) CACO3,HARDNESS TOTAL LABORATORY (CALCD.) CACO3,HOLMIUM TOTAL,INDIUM TOTAL,IRIDIUM TOTAL,IRON EXTRACTABLE,IRON TOTAL,IRON TOTAL RECOVERABLE,LANTHANUM TOTAL,LANTHANUM TOTAL RECOVERABLE,LEAD EXTRACTABLE,LEAD TOTAL,LEAD TOTAL RECOVERABLE,LITHIUM DISSOLVED,LITHIUM TOTAL,LITHIUM TOTAL RECOVERABLE,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM TOTAL,MAGNESIUM TOTAL RECOVERABLE,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MANGANESE TOTAL RECOVERABLE,MERCURY EXTRACTABLE,MERCURY SUSPENDED,MERCURY TOTAL,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,MOLYBDENUM TOTAL RECOVERABLE,NEODYMIUM TOTAL,NICKEL EXTRACTABLE,NICKEL TOTAL,NICKEL TOTAL RECOVERABLE,NIOBIUM TOTAL,NITRATE AND NITRITE (AS N),NITRATE TOTAL,NITROGEN NITRATE,NITROGEN NITRITE,NITROGEN TOTAL,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,PH,PH (FIELD),PHOSPHORUS TOTAL,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM TOTAL,POTASSIUM TOTAL RECOVERABLE,POTASSIUM UNFILTERED,PRASEODYMIUM TOTAL,RUBIDIUM TOTAL,RUBIDIUM TOTAL RECOVERABLE,RUTHENIUM TOTAL,SAMARIUM TOTAL,SCANDIUM TOTAL,SELENIUM TOTAL,SELENIUM TOTAL RECOVERABLE,SILVER EXTRACTABLE,SILVER TOTAL,SILVER TOTAL RECOVERABLE,SIO2,SODIUM DISSOLVED/FILTERED,SODIUM TOTAL,SODIUM TOTAL RECOVERABLE,SODIUM UNFILTERED,SOLIDS SUSPENDED,SPECIFIC CONDUCTANCE,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,STRONTIUM TOTAL RECOVERABLE,SULPHATE,SULPHATE DISSOLVED,SULPHATE TOTAL,TELLURIUM TOTAL,TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM TOTAL,THALLIUM TOTAL,THALLIUM TOTAL RECOVERABLE,TIN TOTAL,TIN TOTAL RECOVERABLE,TITANIUM EXTRACTABLE,TITANIUM TOTAL,TITANIUM TOTAL RECOVERABLE,TOTAL NITRATE,TUNGSTEN TOTAL,TURBIDITY,TURBIDITY (FIELD),URANIUM TOTAL,URANIUM TOTAL RECOVERABLE,VANADIUM EXTRACTABLE,VANADIUM TOTAL,VANADIUM TOTAL RECOVERABLE,YTTERBIUM TOTAL,YTTRIUM TOTAL,ZINC EXTRACTABLE,ZINC TOTAL,ZINC TOTAL RECOVERABLE,ZIRCONIUM TOTAL
2005-10-01 12:00:00,2005-AT0215-0316,NF02XA0001,4.43,20.0,99.9,,,1.1,,,0.1,,,4.9,,,0.1,,,,,,,,,,0.1,,,1.46,,,,,,5.7,,,,0.25,,0.4,,,0.1,,,53.0,,,,0.9,,,,0.02,,,,,,,,,,,,,0.48,,,,,0.2,,,,,,,0.42,,,6.7,,,,3.0,,3.3,,,,0.3,,,,,,,,0.07,,,6.76,,0.009,,0.24,,,,,,,,,,,,0.1,,,,0.67,,,,,15.3,12.6,,,,1.15,,,,,,,,,,2.8,,,,,0.4,,,,0.5,,,,,0.9,,,
2006-03-13 15:00:00,2006-AT0215-0335,NF02XA0001,8.17,20.0,43.2,,,0.1,,,0.1,,,4.8,,,0.1,,,,,,,,,,0.2,,,2.03,,,,,,3.4,,,,0.34,,0.4,,,0.1,,,30.0,,,,1.1,,,,0.03,,,,,,,,,,,,,0.26,,,,,0.2,,,,,,,0.62,,,3.7,,,,,,0.1,,,,0.4,,,,,,,,0.11,,,6.99,,0.009,,0.35,,,,,,,,,,,,0.1,,,,0.92,,,,,20.8,16.1,,,,1.42,,,,,,,,,,0.8,,,,,46.0,,,,0.2,,,,,4.6,,,
2006-05-30 08:00:00,2006-AT0215-0094,NF02XA0001,2.64,,,113.0,,,0.007,,,0.05,,,3.56,,,0.009,,0.001,,,1.0,,,,,0.008,,1.02,,,1.0,5.7,,,,,,,0.11,,0.272,,,0.075,,46.2,,,,,0.41,,,,,,,0.011,,,,,,,,,,363.0,,0.282,,,0.05,,,0.2,,,0.29,,,,7.21,,,,,,0.034,,,,0.17,,,,,,,0.175,,,6.35,,0.0059,,,,,0.27,,0.43,,,,,0.05,,,0.001,,,,,,0.5,,9.0,,7.83,,,,0.54,,,,,0.002,,,,,,,0.01,,1.3,,0.0214,,,0.348,,,,,0.48,,
2006-07-27 16:00:00,2006-AT0215-0142,NF02XA0001,4.66,,,90.7,,,0.007,,,0.06,,,4.93,,,0.008,,0.001,,,1.5,,,,,0.005,,1.48,,,1.3,6.2,,,,,,,0.17,,0.312,,,0.064,,41.4,,,,,0.42,,,,,,,0.009,,,,,,,,,,401.0,,0.304,,,0.045,,,0.2,,,0.46,,,,6.81,,,,,,0.088,,,,0.17,,,,,,,0.198,,,6.73,,0.0061,,,,,0.35,,0.65,,,,,0.05,,,0.001,,,,,,0.75,,14.9,,14.1,,,,0.84,,,,,0.003,,,,,,,0.01,,1.02,,0.0298,,,0.441,,,,,0.4,,
2006-09-23 16:40:00,2006-AT0215-0174,NF02XA0001,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54,,,1.4,5.6,,,,,,,0.23,,,,,,,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,0.165,,,6.68,,0.0077,,,,,0.35,,,,,,,,,,,,,,,,0.82,,16.2,,,,,,0.95,,,,,,,,,,,,0.01,,4.91,,,,,,,,,,,,
2006-10-19 14:50:00,2006-AT0215-0201,NF02XA0001,6.0,,,111.0,,,0.057,,,0.06,,,5.24,,,0.007,,0.002,,,1.4,,,,,0.17,,1.71,,,1.5,5.9,,,,,,,0.25,,0.44,,,0.088,,42.1,,,,,1.89,,,,,,,0.013,,,,,,,,,,522.0,,0.344,,,0.293,,,0.3,,,0.51,,,,6.26,,,,,,0.25,,,,0.77,,,,,,,0.187,,,6.66,,0.0059,,,,,0.31,,0.78,,,,,0.05,,,0.001,,,,,,0.83,,16.4,,14.5,,,,0.98,,,,,0.002,,,,,,,0.01,,1.24,,0.0282,,,1.8,,,,,7.71,,
2007-05-30 09:00:00,2007-AT0215-0103,NF02XA0001,1.91,,,166.0,,,0.006,,,0.05,,,4.07,,,0.012,,0.001,,,0.3,,,,,0.004,,0.91,,,1.2,7.0,,,,,,,0.11,,0.342,,,0.12,,51.9,,,,,0.47,,,,,,,0.032,,,,,,,,,,498.0,,0.418,,,0.079,,,0.2,,,0.27,,,,10.7,,,,,,0.023,,,,0.23,,,,,,,0.277,,,5.92,,0.0067,,,,,0.15,,0.47,,,,,0.05,,,0.001,,,,,,0.42,,9.2,,8.12,,,,0.52,,,,,0.001,,,,,,,0.01,,3.32,,0.026,,,0.52,,,,,0.62,,
2007-07-19 09:20:00,2007-AT0215-0161,NF02XA0001,4.19,,,887.0,,,0.031,,,0.11,,,12.3,,,0.035,,0.002,,,1.4,,,,,0.014,,1.41,,,1.3,4.8,,,,,,,0.13,,1.45,,,0.407,,38.2,,,,,1.31,,,,,,,0.279,,,,,,,,,,1350.0,,1.69,,,0.343,,,0.6,,,0.38,,,,20.9,,,,,,0.077,,,,0.85,,,,,,,0.256,,,6.45,,0.0081,,,,,0.26,,1.46,,,,,0.06,,,0.002,,,,,,0.73,,13.1,,14.5,,,,0.79,,18.0,,,0.009,,,,,,,0.01,,2.99,,0.067,,,2.22,,,,,2.93,,
2007-09-18 08:00:00,2007-AT0215-0191,NF02XA0001,5.09,,,109.0,,,0.007,,,0.04,,,4.52,,,0.011,,0.001,,,1.1,,,,,0.002,,1.62,,,1.4,6.0,,,,,,,0.19,,0.364,,,0.084,,41.5,,,,,0.43,,,,,,,0.02,,,,,,,,,,532.0,,0.368,,,0.063,,,0.2,,,0.48,,,,8.61,,,,,,0.079,,,,0.22,,,,,,,0.171,,,6.54,,0.005,,,,,0.24,,0.58,,,,,0.05,,,0.002,,,,,,0.71,,15.6,,12.8,,,,0.85,,,,,0.002,,,,,,,0.01,,1.88,,0.029,,,0.527,,,,,0.45,,
2007-10-13 15:10:00,2007-AT0215-0213,NF02XA0001,,3.0,,115.0,,,0.008,,,0.02,,,4.33,,,0.012,,0.001,,,0.8,,,,,0.004,,1.58,,,1.2,8.0,,,,,,,0.19,,0.324,,,0.056,,57.3,,,,,0.25,,,,,,,0.015,,,,,,,,,,426.0,,0.352,,,0.055,,,0.2,,,0.44,,,,4.98,,,,,,0.038,,,,0.21,,,,,,,0.192,,,7.12,,0.0045,,,,,0.24,,0.46,,,,,0.05,,,0.001,,,,,,0.66,,13.3,,11.4,,,,0.76,,,,,0.002,,,,,,,0.01,,1.25,,0.0277,,,0.356,,,,,0.56,,
