DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,"1,2,4,5-TETRABROMOBENZENE (1,2,4,5-TBB)",1-METHYLNAPHTHALENE,2-CHLORONAPHTHALENE,2-METHYLNAPHTHALENE,7-ISOPROPYL-1-METHYLPHENANTHRENE (RETENE),ACENAPHTHENE,ACENAPHTHYLENE,ALDRIN,ALKALINITY TOTAL CACO3,ALPHA-BENZENE HEXACHLORIDE OR ALPHA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),ALPHA-CHLORDANE,ALPHA-ENDOSULFAN,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA DISSOLVED,AMMONIA UN-IONIZED (CALCD.),ANTIMONY DISSOLVED,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC TOTAL,B-HEXACHLOROCYCLOHEXANE (B-HCH),BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BENZO(A)ANTHRACENE,BENZO(A)PHENANTHRENE OR CHRYSENE,BENZO(A)PYRENE,BENZO(B)FLUORANTHENE,BENZO(E)PYRENE,"BENZO(G,H,I)PERYLENE",BENZO(K)FLUORANTHENE,BENZOPHENANTHRENE,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BETA-ENDOSULFAN,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CARBON DIOXIDE FREE (CALCD.),CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON PARTICULATE ORGANIC,CARBON TOTAL ORGANIC,CARBON TOTAL ORGANIC (CALCD.),CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,CIS-NONACHLOR,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,CYANIDE WEAK ACID DISSOCIABLE,DELTA-BENZENE HEXACHLORIDE OR DELTA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH),"DIBENZO(A,H)ANTHRACENE OR DIBENZ(A,H)ANTHRACENE",DIBENZOTHIOPHENE (DBT),DIELDRIN,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,ENDRIN,ENDRIN KETONE AS A SURROGATE,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FLUORANTHENE,FLUORENE,FLUORENE-D10,FLUORIDE DISSOLVED,GADOLINIUM DISSOLVED,GALLIUM DISSOLVED,GALLIUM TOTAL,GAMMA-BENZENE HEXACHLORIDE OR GAMMA-(HEXACHLOROCYCLOHEXANE OR HEXACHLORANE OR BHC OR HCH) OR LINDANE,GAMMA-CHLORDANE,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS NON-CARBONATED (CALCD.),HARDNESS TOTAL (CALCD.) CACO3,HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,HEXACHLOROBUTADIENE,HOLMIUM DISSOLVED,HOLMIUM TOTAL,HYDROXIDE (CALCD.),INDENE,"INDENO(1,2,3-C,D)PYRENE",INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MERCURY TOTAL,MIREX,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NAPHTHALENE,NAPHTHALENE-D8,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM TOTAL,NITRATE (AS N),NITRATE AND NITRITE (AS N),NITRITE (AS N),NITRITE AND NITRATE UNFILTERED,NITROGEN DISSOLVED NITRITE,NITROGEN KJELDAHL TOTAL,NITROGEN PARTICULATE,NITROGEN TOTAL,NITROGEN TOTAL (CALCD.),NITROGEN TOTAL DISSOLVED,"O,P'-DDD (MITOTANE) (2,4'-DDD)","O,P'-DDE (2,4'-DDE)","O,P'-DDT (2,4'-DDT)","OIL AND GREASE, VISIBLE",OXYCHLORDANE,"P,P'-DDE (4,4'-DDE)","P,P'-DDT (4,4'-DDT)","P,P'-DICHLORODIPHENYL DICHLOROETHANE (P,P'-DDD) OR 1,2-DIPHENYL TETRACHLOROETHANE (4,4'-DDD)","P,P'-METHOXYCHLOR (METHOXYCHLOR)",P-NAPHTHALENE,PENTACHLOROANISOLE,PENTACHLOROBENZENE,PERYLENE,PERYLENE-D12,PH,PH (FIELD),PHENANTHRENE,PHOSPHORUS PARTICULATE (CALCD.),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE/UNFILTERED,POTASSIUM FILTERED,POTASSIUM TOTAL,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,PYRENE-D10,RESIDUE FILTERABLE,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SATURATION INDEX (CALCD.),SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM TOTAL,SILICA SOLUBLE REACTIVE,SILVER DISSOLVED,SILVER TOTAL,SIO2,SODIUM ADSORPTION RATIO (CALCD.),SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE/UNFILTERED,SODIUM FILTERED,SODIUM PERCENTAGE (CALCD.),SODIUM TOTAL,SPECIFIC CONDUCTANCE,STABILITY INDEX (CALCD.),STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,TETRAHYDRONAPHTHALENE,THALLIUM DISSOLVED,THALLIUM TOTAL,THIOCYANATE,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL DISSOLVED SOLIDS (FILTERABLE RESIDUE) (CALCD.),TRANS-NONACHLOR,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,URANIUM DISSOLVED,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2001-08-23 12:30:00,2001PNB17163,NW06MA0001,,,,,,,,,30.9,,,,,,0.013,0.009,,,,0.0001,,,,,0.0183,,,,,,,,,,,0.05,,,,,,,,,,,0.0001,2.34,,2.44,5.718,,3.5,0.127,,3.627,,,,,,1.29,,,0.0004,,,,0.0002,5,,,,,0.0006,,,,,,,0.019,,,,,,,,,0.06,,,,,,,,,,0,10.125,,,,,,,,,,,,,,,,0.0264,,,,,0.0002,,,0.001,,,1.04,,1.05,,,0.0043,,,,,0.0004,,,,,,,0.0002,,,,,,,,,0.019,,0.103,0.084,,,,,,,,,,,,,,,7.02,,,0.004,0.011,0.01,,,,,0.4,0.33,,,,27,5,,,,,,,,,,0.0001,,,,0.0007,0.25,,,,0.59,10.774,0.42,191,,,,0.0163,1.4,,,,,,,,,,,,,,25.994,,,,0.7,,,,,0.0001,,,,,,,0.0003,,
2001-08-23 12:33:00,2001PNB17164,NW06MA0001,,,,,,,,,7.8,,,,,,0.014,0.008,,,,0.0001,,,,,0.0171,,,,,,,,,,,0.05,,,,,,,,,,,0.0002,2.26,,2.29,1.41,,3.5,0.144,,3.644,,,,,,1.28,,,0.001,,,,0.0003,5,,,,,0.0008,,,,,,,0.023,,,,,,,,,0.06,,,,,,,,,,2.001,9.801,,,,,,,,,,,,,,,,0.0277,,,,,0.0002,,,0.001,,,1.01,,0.99,,,0.0041,,,,,0.0006,,,,,,,0.0002,,,,,,,,,0.02,,0.058,0.038,,,,,,,,,,,,,,,7.03,,,0.004,0.012,0.011,,,,,0.41,0.31,,,,10,5,,,,,,,,,,0.0001,,,,0.0009,0.19,,,,0.6,11.229,0.39,24,,,,0.0153,1.4,,,,,,,,,,,,,,11.992,,,,0.9,,,,,0.0001,,,,,,,0.0002,,
2002-01-19 15:00:00,2001PNE17223,NW06MA0001,,,,,,,,,,,,,,,0.009,,,,,0.0001,,,,,0.0197,,,,,,,,,,,0.05,,,,,,,,,,,0.0002,2.39,,2.62,,,,0.198,,,,,,,,1.44,,,0.0002,,,,0.0001,,,,,,0.0029,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,10.414,,,,,,,,,,,,,,,,0.0159,,,,,0.001,,,0.0009,,,1.08,,1.14,,,0.0013,,,,,0.0001,,,,,,,0.0005,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.69,,,,,,,,,,,,,,,0.0001,,,,0.0001,0.17,,,,0.62,11.052,0.69,,,,,0.0164,1.6,,,,,,,,,,,,,,,,,,,,,,,0.0001,,,,,,,0.008,,
2002-06-20 15:30:00,2002PNB17294,NW06MA0001,,,,,,,,,8.1,,,,,,,0.02,0,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,1.932,,3.5,0.159,,3.659,,,,,,1.49,,,,,,,,10,,54,,,,,,,,,,0.026,,,,,,,,,0.06,,,,,,,,,,2.257,10.357,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,0.189,0.167,,,,,,,,,,,,,,,6.91,7.06,,0.016,0.018,0.004,,,,,0.45,,,,,38,3,,,,,,,-3.912,,,0.0001,,,,,0.09,,,,0.69,12.08,,25.8,14.734,,,,0.7,,,0,,,,,,,,,,,11.915,,,,0.5,,,,,,,,,,,,,,
2002-08-15 12:25:00,2002PNF17340,NW06MA0001,,,,,,,,,7.5,,,,,,,0.015,0,,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,,,1.453,,3,0.166,,3.166,,,,,,1.17,,,,,,,,10,,19.1,,,,,,,,,,0.008,,,,,,,,,0.06,,,,,,,,,,1.788,9.288,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,0.089,,0.255,0.166,,,,,,,,,,,,,,,7,,,0.004,0.009,0.007,,,,,0.38,,,,,19,4,,,,,,,-3.544,,,0.0001,,,,,0.38,,,,0.61,11.96,,23.5,14.088,,,,1.5,,,10.1,,,,,,,,,,,11.745,,,,1,,,,,,,,,,,,,,
2003-05-06 18:08:00,2003PN010014,NW06MA0001,,,,,,,,,10.9,,,,,,3.6,0.005,,,0.001,,0.11,,,,22.4,,,,,,,,,,,0.003,,,,0.001,,,3.2,,,,0.038,2.59,,,1.159,,4.4,0.225,,4.625,,,,,0.005,1.69,,,0.040,,,,0.007,10,,,,,0.31,,,,,,,0.025,,,,,,,,,0.05,,,0.001,,,,,,,0.508,11.408,,,,,,,,,,,,,,,,8.2,,0.044,,,0.005,,,0.9,,,1.20,,,,,1.64,,,,,0.031,,,,,,,0.17,,0.001,,,,,,,0.025,,0.158,0.133,,,,,,,,,,,,,,,7.26,,,0.004,0.005,0.006,,0.001,,,0.42,,,,,24,3,,0.86,,,,,,,,,0.05,,,0.001,0.28,,,,0.61,10.005,,27.2,,,,18.5,0.79,,,,,,,,0.001,,,0.005,,,14.281,,,0.001,0.3,,0.049,,,0.056,,,,0.031,,,0.31,,
2003-05-06 18:12:00,2003PN010016,NW06MA0001,,,,,,,,,10.8,,,,,,3.8,0.005,,,0.001,,0.10,,,,22.4,,,,,,,,,,,0.002,,,,0.001,,,3.1,,,,0.035,2.59,,,1.26,,4.6,0.189,,4.789,,,,,0.005,2.29,,,0.046,,,,0.008,20,,,,,0.29,,,,,,,0.046,,,,,,,,,0.08,,,0.001,,,,,,,0.566,11.366,,,,,,,,,,,,,,,,7.7,,0.042,,,0.005,,,0.8,,,1.19,,,,,1.51,,,,,0.018,,,,,,,0.16,,0.001,,,,,,,0.026,,0.066,0.04,,,,,,,,,,,,,,,7.22,,,0.004,0.005,0.005,,0.001,,,0.41,,,,,26,8,,0.86,,,,,,,,,0.05,,,0.001,0.27,,,,0.61,10.045,,27.1,,,,18.4,0.88,,,,,,,,0.001,,,0.005,,,15.004,,,0.001,0.2,,0.047,,,0.029,,,,0.030,,,0.21,,
2003-05-06 18:14:00,2003PN010017,NW06MA0001,,,,,,,,,10.9,,,,,,4.9,0.005,,,0.001,,0.11,,,,22.1,,,,,,,,,,,0.004,,,,0.001,,,3.2,,,,0.038,2.59,,,1.331,,4.4,0.141,,4.541,,,,,0.005,1.61,,,0.045,,,,0.008,10,,,,,0.34,,,,,,,0.046,,,,,,,,,0.07,,,0.001,,,,,,,0.508,11.408,,,,,,,,,,,,,,,,9.7,,0.044,,,0.005,,,0.9,,,1.20,,,,,1.56,,,,,0.038,,,,,,,0.17,,0.001,,,,,,,0.023,,0.16,0.137,,,,,,,,,,,,,,,7.2,,,,0.005,,,0.001,,,0.42,,,,,28,6,,0.86,,,,,,,,,0.05,,,0.001,0.26,,,,0.61,10.005,,27.2,,,,18.3,0.85,,,,,,,,0.001,,,0.005,,,14.354,,,0.001,0.7,,0.046,,,0.028,,,,0.032,,,0.44,,
2003-06-18 12:00:00,2003PN010050,NW06MA0001,,,,,,,,,9.5,,,,,,7.9,0.005,,,0.005,,0.13,,,,18.6,,,,,,,,,,,0.004,,,,0.001,,,3.1,,,,0.071,2.36,,,2.428,,3.6,0.286,,3.886,,,,,0.005,1.36,,,0.067,,,,0.014,10,,,,,0.34,,,,,,,0.023,,,,,,,,,0.08,,,0.001,,,,,,,0.551,10.051,,,,,,,,,,,,,,,,20.9,,0.063,,,0.038,,,0.9,,,1.01,,,,,7.17,,,,,0.053,,,,,,,0.17,,0.001,,,,,,,0.031,,0.162,0.131,,,,,,,,,,,,,,,6.88,,,0.005,0.007,0.004,,0.001,,,0.41,,,,,22,4,,0.81,,,,,,,,,0.05,,,0.004,0.25,,,,0.63,11.479,,26.4,,,,16.8,0.67,,,,,,,,0.001,,,0.005,,,12.572,,,0.002,0.8,,0.042,,,0.038,,,,0.034,,,0.62,,
2003-08-13 17:46:00,2003PN010120,NW06MA0001,,,,,,,,,9.2,,,,,,11.4,0.005,0,,0.017,,0.10,,,,18.6,,,,,,,,,,,0.004,,,,0.001,,,1.6,,,,0.074,2.19,,,1.911,,3.7,0.296,,3.996,,,,,0.005,1.27,,,0.051,,,,0.013,10,,20,,,0.34,,,,,,,0.008,,,,,,,,,0.05,,,0.002,,,,,,,0.468,9.668,,,,,,,,,,,,,,,,30.2,,0.059,,,0.048,,,0.8,,,1.02,,,,,6.61,,,,,0.042,,,,,,,0.16,,0.001,,,,,,,0.036,,0.128,0.092,,,,,,,,,,,,,,,6.97,7.3,,0.006,0.008,0.004,,0.001,,,0.40,,,,,18,4,,0.77,,,,,-3.485,,,,0.05,,,0.001,0.27,,,,0.55,10.524,,25.2,13.939,,,15.7,0.66,,,10,,,,,0.001,,,0.005,,,11.965,,,0.001,1,,0.044,,,0.052,,,,0.035,,,1.49,,
2004-05-06 15:15:00,2004PN010020,NW06MA0001,,,,,,,,,6.6,,,,,,9.9,0.009,0,,0.100,,0.20,,,,22.6,,,,,,,,,,,0.002,,,,0.002,,,2.2,,,,0.513,0.92,,,1.25,,2,0.165,,2.165,,,0.049,,0.005,0.38,,,0.681,,,,0.061,,,20,,,3.13,,,,,,,0.2,,,,,,,,,0.03,,,0.003,,,,,,,0,5.014,,,,,,,,,,,,,,,,18.5,,0.043,,,1.12,,,0.9,,,0.66,,,,,1.87,,,,,0.065,,,,,,,0.57,,0.001,,,,,,,0.025,,0.195,0.17,,,,,,,,,,,,,,,6.82,6.40,,0.004,0.01,0.01,,0.001,,,0.44,,,,,14,3,,1.39,,,,,-4.306,,,,0.05,,,0.003,0.13,,,,0.58,18.459,,16.6,15.621,,,18.6,1.46,,,0.2,,,,,0.002,,,0.092,,,9.446,,,0.111,0.12,,0.0444,,,0.071,,,,0.031,,,15.2,,
2004-06-29 08:10:00,2004PN010076,NW06MA0001,,,,,,,,,9.6,,,,,,8.3,0.006,,,0.001,,0.11,,,,19.4,,,,,,,,,,,0.004,,,,0.001,,,0.1,,,,0.030,2.19,,,1.86,,3.7,0.239,,3.939,,,0.047,,0.005,1.12,,,0.108,,,,0.009,5,,,,,0.80,,,,,,,0.2,,,,,,,,,0.05,,,0.002,,,,,,,0,9.544,,,,,,,,,,,,,,,,15.5,,0.044,,,0.051,,,0.9,,,0.99,,,,,5.02,,,,,0.042,,,,,,,0.19,,0.001,,,,,,,0.057,,0.447,0.39,,,,,,,,,,,,,,,7,,,0.004,0.01,0.01,,0.001,,,0.41,,,,,16,3,,0.86,,,,,,,,,0.05,,,0.001,0.32,,,,0.55,10.627,,23.7,,,,18.0,0.64,,,,,,,,0.002,,,0.012,,,12.916,,,0.001,0.65,,0.0366,,,0.076,,,,0.030,,,1.76,,
2004-06-29 08:12:00,2004PN010077,NW06MA0001,,,,,,,,,9.5,,,,,,7.5,0.005,,,0.001,,0.11,,,,19.5,,,,,,,,,,,0.002,,,,0.001,,,0.5,,,,0.062,2.18,,,1.531,,2.9,0.258,,3.158,,,0.049,,0.005,1.22,,,0.136,,,,0.010,5,,,,,1.65,,,,,,,0.2,,,,,,,,,0.04,,,0.001,,,,,,,0.019,9.519,,,,,,,,,,,,,,,,12.1,,0.045,,,0.085,,,0.7,,,0.99,,,,,4.10,,,,,0.043,,,,,,,0.25,,0.001,,,,,,,0.048,,0.068,0.04,,,,,,,,,,,,,,,7.08,,,0.004,0.01,0.01,,0.001,,,0.40,,,,,12,3,,0.81,,,,,,,,,0.05,,,0.001,0.29,,,,0.59,11.351,,23.6,,,,17.6,0.67,,,,,,,,0.002,,,0.021,,,12.966,,,0.001,0.83,,0.0374,,,0.092,,,,0.027,,,3.68,,
2004-06-29 08:14:00,2004PN010078,NW06MA0001,,,,,,,,,7.5,,,,,,7.3,0.005,,,0.003,,0.10,,,,19.5,,,,,,,,,,,0.003,,,,0.001,,,0.6,,,,0.028,2.16,,,5.172,,2.9,0.249,,3.149,,,0.040,,0.005,1.13,,,0.112,,,,0.006,5,,,,,0.91,,,,,,,0.2,,,,,,,,,0.04,,,0.001,,,,,,,2.011,9.511,,,,,,,,,,,,,,,,11.9,,0.040,,,0.036,,,0.9,,,1.00,,,,,4.63,,,,,0.042,,,,,,,0.18,,0.001,,,,,,,0.048,,0.458,0.41,,,,,,,,,,,,,,,6.45,,,0.004,0.01,0.01,,0.001,,,0.38,,,,,12,3,,0.86,,,,,,,,,0.05,,,0.001,0.29,,,,0.54,10.522,,24,,,,17.6,0.61,,,,,,,,0.002,,,0.010,,,11.536,,,0.001,0.75,,0.0358,,,0.088,,,,0.028,,,1.77,,
2004-08-21 15:15:00,2004PN010154,NW06MA0001,,,,,,,,,9.2,,,,,,7.9,0.005,0,,0.012,,0.10,,,,15.9,,,,,,,,,,,0.003,,,,0.001,,,0.2,,,,0.971,1.95,,,1.702,,2.7,0.485,,3.185,,,0.036,,0.005,0.10,,,0.062,,,,0.011,10,,20.2,,,1.15,,,,,,,,,,,,,,,,0.07,,,0.002,,,,,,,0,6.228,,,,,,,,,,,,,,,,12.6,,0.036,,,0.086,,,0.8,,,0.33,,,,,4.51,,,,,0.043,,,,,,,0.27,,0.001,,,,,,,0.063,,0.124,0.061,,,,,,,,,,,,,,,7.02,,,0.005,0.01,0.01,,0.001,,,0.40,,,,,12,,,0.83,,,,,,,,,0.05,,,0.001,1.43,,,,0.34,9.895,,22.5,,,,16.7,2.86,,,7.9,,,,,0.011,,,0.033,,,,,,0.002,0.4,,0.0346,,,0.048,,,,0.022,,,2.55,,
2005-05-10 16:00:00,2005PN010012,NW06MA0001,,,,,,,,,11,,,,,,26.4,0.005,0,,0.215,,0.19,,,,22.3,,,,,,,,,,,0.004,,288.903,,0.003,,,2.3,,,,0.081,2.80,,,53.968,,4,0.342,,4.342,0,,0.060,,0.005,1.85,,,0.576,,,,0.034,10,,46,,,1.03,,,,,,,,,,,,,,,,0.05,,,0.006,,,,,,,0,12.097,,,,,,,0,,,,,,,,,43.2,,0.049,,,1.39,,,1.0,,,1.24,,,,,2.00,,,,,0.064,,,,,,,0.88,,0.005,,,,,,,0.002,,0.102,0.1,,,,,,,,,,,,,,,6.93,7.14,,0.004,0.01,0.01,,0.001,,,0.50,,,,,26,3,,0.98,,,,,-2.411,,,,0.05,,,0.009,0.31,,,,0.83,12.424,,31.3,11.751,,,19.1,0.93,,,0.6,,,,,0.002,,,0.104,,,150.66,,,0.024,1,,0.0452,,,0.075,,,,0.042,,,51.9,,
2005-05-11 09:32:00,2005PN010014,NW06OA0001,94,21.6,22.3,26.4,,23.9,16.2,0.17,150.,0.75,0.37,0.38,,,15.7,0.022,,,0.022,,0.05,1.01,,,4.62,20.0,20.0,68.6,83.9,70.0,114,81.4,7.82,,,0.007,0.36,2.072,,0.001,,,1.3,,,,0.016,0.94,,,11.686,,3,0.414,,,0,,0.704,,0.005,1.96,,,0.090,0.68,,,0.007,5,,,,,0.56,,,113,100,,0.66,,,0.77,111,,,8.70,25.1,91,0.03,,,0.001,0.33,0.19,,,,,1.923,3.623,0.35,0.20,0.29,0.25,,,0,14.5,133,,,,,,,3.1,,0.785,,,0.052,,,0.2,,,0.31,,,,,1.12,,0.51,,,0.047,20.0,71,,,,,0.24,,0.001,,,,,,,0.002,,,0.18,0.48,0.74,0.35,,0.64,0.40,0.72,0.55,3.17,20.0,0.17,0.21,100,99,5.49,,33.8,,0.01,0.01,,0.001,,,0.40,,,,96,18,4,,1.57,,,,,,,,,0.05,,,0.006,1.36,0.12,,,1.32,40.998,,300.,,,,6.36,1.12,,,,,,17.0,,0.003,,,0.005,,,8.43,0.46,,0.001,0.97,,0.125,,,0.025,,,,0.176,,,1.50,,
2005-05-11 09:34:00,2005PN010015,NW06OA0001,,,,,,,,,4.1,,,,,,17.5,0.022,,,0.007,,0.05,,,,4.84,,,,,,,,,,,0.005,,4.998,,0.001,,,1.0,,,,0.022,0.94,,,3.331,,2,0.237,,,0,,0.738,,0.005,1.92,,,0.142,,,,0.009,10,,,,,11.5,,,,,,,,,,,,,,,,0.04,,,0.001,,,,,,,0,3.582,,,,,,,0,,,,,,,,,4.1,,0.815,,,0.063,,,0.3,,,0.30,,,,,1.18,,,,,0.045,,,,,,,0.17,,0.001,,,,,,,0.002,,,0.16,,,,,,,,,,,,,,,8.03,,,,0.01,0.01,,0.001,,,0.37,,,,,22,3,,1.64,,,,,,,,,0.05,,,0.002,1.36,0.08,,,1.28,40.724,,327.,,,,6.69,1.12,,,,,,,,0.003,,,0.005,,,9.75,,,0.001,0.36,,0.132,,,0.042,,,,0.182,,,1.94,,
2005-05-11 09:36:00,2005PN010016,NW06OA0001,,,,,,,,,4,,,,,,16.4,0.018,,,0.003,,0.04,,,,4.87,,,,,,,,,,,0.005,,,,0.001,,,0.9,,,,0.035,0.93,,,3.103,,2,0.208,,,,,0.730,,0.005,1.93,,,0.099,,,,0.009,10,,,,,0.59,,,,,,,,,,,,,,,,0.04,,,0.001,,,,,,,0,3.557,,,,,,,,,,,,,,,,5.9,,0.820,,,0.044,,,0.3,,,0.30,,,,,1.18,,,,,0.044,,,,,,,0.16,,0.001,,,,,,,0.002,,,0.15,,,,,,,,,,,,,,,6.4,,,,0.01,0.01,,0.001,,,0.36,,,,,18,3,,1.64,,,,,,,,,0.05,,,0.001,1.36,,,,1.27,40.761,,17.2,,,,6.60,1.12,,,,,,,,0.002,,,0.005,,,9.67,,,0.001,0.7,,0.131,,,0.037,,,,0.182,,,2.01,,
2005-06-22 14:30:00,2005PN010069,NW06MA0001,,,,,,,,,8.8,,,,,,10.7,0.005,0,,0.001,,0.10,,,,14.5,,,,,,,,,,,0.003,,,,0.001,,,2.0,,,,0.035,2.16,,,1.959,,3.1,0.317,,3.417,,,0.093,,0.005,1.34,,,0.065,,,,0.017,10,,30,,,0.51,,,,,,,,,,,,,,,,0.05,,,0.002,,,,,,,0.216,9.016,,,,,,,,,,,,,,,,22.9,,0.076,,,0.064,,,0.6,,,0.88,,,,,8.46,,,,,0.028,,,,,,,0.20,,0.001,,,,0.03,,,0.030,,0.13,0.1,,,,,,,,,,,,,,,6.94,6.46,,0.004,0.01,0.01,,0.001,,,0.37,,,,,10,4,,0.74,,,,,-3.855,,,,0.05,,,0.001,0.30,,,,0.74,14.512,,23.4,14.649,,,13.7,0.77,,,1,,,,,0.001,,,0.005,,,11.84,,,0.001,1,,0.0360,,,0.029,,,,0.032,,,1.76,,
2005-06-25 14:00:00,2005PN010070,NW06OA0001,93,21.6,22.3,26.4,,23.9,16.2,0.17,3.4,0.51,0.37,0.38,,,15.7,0.005,,,0.001,,0.03,1.01,,,3.12,20.0,20.0,68.6,83.9,70.0,114,81.4,7.82,,,0.003,0.36,,,0.001,,,0.6,,,,0.007,0.68,,,2.896,,1.7,0.133,,,,,0.633,,0.005,1.24,,,0.039,0.68,,,0.009,7,,,,,0.31,,,85,100,,0.66,,,0.77,81,,,8.70,25.1,60,0.03,,,0.001,0.27,0.19,,,,,0,2.645,0.35,0.20,0.29,0.25,,,,14.5,133,,,,,,,6.2,,0.623,,,0.106,,,0.2,,,0.23,,,,,1.69,,0.51,,,0.028,20.0,68,,,,,0.16,,0.001,,,,0.05,,,0.004,,,0.09,0.48,0.74,0.35,,0.64,0.40,0.72,0.55,3.17,20.0,0.17,0.21,100,65,6.36,,33.8,,0.01,0.01,,0.001,,,0.32,,,,87,10,3,,1.08,,,,,,,,,0.05,,,0.001,1.01,,,,0.95,40.373,,11.4,,,,4.31,0.77,,,,,,17.0,,0.002,,,0.005,,,7.24,0.46,,0.001,0.2,,0.105,,,0.032,,,,0.138,,,0.69,,
