DATE_TIME_HEURE,SAMPLE_ID_ÉCHANTILLON,SITE_NO,ALKALINITY PHENOLPHTHALEIN CACO3,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA TOTAL,ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BICARBONATE (CALCD.),BISMUTH DISSOLVED,BISMUTH EXTRACTABLE,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE DISSOLVED,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM TOTAL,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBONATE (CALCD.),CERIUM DISSOLVED,CERIUM EXTRACTABLE,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM EXTRACTABLE,CESIUM TOTAL,CHLORIDE,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,CYANIDE WEAK ACID DISSOCIABLE,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,ESCHERICHIA COLI,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FLUORIDE DISSOLVED,FLUORIDE TOTAL,GADOLINIUM DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM DISSOLVED,GALLIUM EXTRACTABLE,GALLIUM TOTAL,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS TOTAL,HARDNESS TOTAL (CALCD.) CACO3,HOLMIUM DISSOLVED,HOLMIUM TOTAL,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM EXTRACTABLE,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNESIUM TOTAL,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM EXTRACTABLE,NIOBIUM TOTAL,NITRATE AND NITRITE (AS N),NITROGEN KJELDAHL DISSOLVED,NITROGEN KJELDAHL TOTAL,NITROGEN NITRITE,NITROGEN TOTAL,NITROGEN TOTAL DISSOLVED,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,OXYGEN DISSOLVED % SATURATION,PALLADIUM DISSOLVED,PALLADIUM TOTAL,PH,PH (FIELD),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM EXTRACTABLE,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE,POTASSIUM TOTAL,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM EXTRACTABLE,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SILICON DISSOLVED,SILICON EXTRACTABLE,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE,SODIUM TOTAL,SPECIFIC CONDUCTANCE,STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE,SULPHATE DISSOLVED,SULPHUR DISSOLVED,SULPHUR TOTAL,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (AIR),TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,TIN DISSOLVED,TIN EXTRACTABLE,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TOTAL NITRATE,TUNGSTEN DISSOLVED,TUNGSTEN EXTRACTABLE,TUNGSTEN TOTAL,TURBIDITY,URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM EXTRACTABLE,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
2000-02-22 13:28:00,00PY000731,BC08NL0005,,,,,0.025,,,,,,,0.0009,,29.3,0.0281,,0.002,0.05,,,,,,6.12,,,,0.007,0.0001,,27.0,,18.5,0.5,,,,,,,,,,,,0.0002,,0.478,0.0005,2.5,,,0.69,0.0008,1.0,0.5,,,,,,2.0,0.05,,,,,0.006,,,,,,,87.6,,,,,,,,,0.0339,,0.023,,,0.02,0.0002,,1.17,0.0011,,,,4.9,,,5.08,0.0045,,,0.0016,,,,0.02,0.0002,,,,,,,,,0.05,,,,,,,8.1,,,0.011,,,,,1.0,,,,,,0.527,,,,,,,,,,0.0002,,5.8,,0.005,0.0001,,4.4,,196.0,,159.0,0.146,,,,,,,9.0,4.0,,,,,0.012,,,,,,,,,,,0.51,,0.685,,,0.79,0.0005,,,,,,,0.46,0.0011,,
2000-03-06 19:38:00,00PY001110,BC08NM0001,,,,,0.032,,,,,,,,,,0.0281,,,0.05,,,,,,,,,,,0.0001,,34.5,,28.4,3.3,,,,,,,,,4.0,,,0.0002,,,0.0002,5.0,,,,0.0007,,,,,,,,4.0,,,,,,,,,,,,,128.2,,,,,,,,,0.0612,,,,,,0.0003,,,0.0038,,,,10.2,,,,0.0149,,,0.0032,,,,,0.0004,,,,,,,,,0.25,,,,,,,8.23,,0.015,0.005,,,,,2.5,,,,,,,,,,,,,,,,,,2.98,,,0.0001,,11.1,,302.0,,,0.332,,,,,,,4.0,6.0,,,,,,,,,,,,,,,,1.2,,,,,,0.0006,,,,,,,,0.0003,,
2000-03-07 13:25:00,00PY001166,BC08NL0005,,,,,0.013,,,,,,,0.001,,29.5,0.0294,,0.002,0.05,,,,,,6.5,,,,0.016,0.0001,,27.3,,19.7,1.0,,,,,,,,,,,,0.0002,,0.516,0.0005,2.5,,,0.64,0.0005,1.0,0.5,,,,,,2.0,0.06,,,,,0.006,,,,,,,88.6,,,,,,,,,0.0264,,0.023,,,0.03,0.0003,,1.18,0.0011,,,,5.0,,,6.42,0.006,,,0.0015,,,,0.02,0.0002,,,,,,,,,0.07,,,,,,,7.81,,,0.01,,,,,0.9,,,,,,0.532,,,,,,,,,,0.0002,,5.64,,0.005,0.0001,,4.6,,202.0,,161.0,0.154,,,,,,,11.0,5.0,,,,,0.009,,,,,,,,,,,0.38,,0.683,,,0.61,0.0004,,,,,,,0.48,0.0003,,
2000-03-07 14:25:00,00PY001168,BC08NL0001,,,,,0.025,,,,,,,0.0003,,22.3,0.0218,,0.002,0.05,,,,,,6.57,,,,0.006,0.0001,,21.4,,15.2,1.1,,,,,,,,,,,0.21,0.0002,,0.004,0.0001,5.0,,,0.82,0.0008,0.5,0.5,,,,,,2.0,0.01,,,,,0.008,,,,,,,71.1432,,,,,,,,,0.0264,,0.028,,,0.04,0.0002,,0.79,0.0008,,,,4.3,,,1.44,0.0014,,,0.001,,,,0.02,0.0002,,,,,,,,,0.03,,,,,,,7.89,,,0.008,,,,,0.7,,,,,,0.441,,,,,,,,,,0.0002,,4.9,,0.005,0.0001,,4.6,,167.0,,145.0,0.136,,,,,,,7.0,2.0,,,,,0.014,,,,,,,,,,,0.68,,0.229,,,,0.0004,,,,,,,0.46,0.0002,,
2000-03-14 19:30:00,00PY001315,BC08NM0001,,,,,0.049,,,,,,,,,,0.0284,,,0.05,,,,,,,,,,,0.0001,,35.0,,28.6,3.6,,,,,,,,,4.0,,,0.0002,,,0.0001,10.0,,,,0.0008,,,,,,,,2.0,,,,,,,,,,,,,129.8,,,,,,,,,0.0926,,,,,,0.0002,,,0.0036,,,,10.3,,,,0.0158,,,0.0033,,,,,0.0005,,,,,,,,,0.29,,,,,,,8.25,,0.005,0.002,,,,,2.6,,,,,,,,,,,,,,,,,,2.95,,,0.0001,,11.1,,301.0,,,0.332,,,,,,,9.0,7.0,,,,,,,,,,,,,,,,1.4,,,,,,0.0008,,,,,,,,0.0003,,
2000-03-21 08:55:00,00PY001407,BC08NL0001,,,,,0.058,,,,,,,0.0003,,25.5,0.0241,,0.002,0.05,,,,,,7.25,,,,0.01,0.0001,,22.7,,16.0,0.5,,,,,,,,,,,0.56,0.0002,,0.031,0.0001,5.0,,,1.32,0.0012,0.5,0.5,,,,,,2.0,0.04,,,,,0.017,,,,,,,75.6,,,,,,,,,0.0526,,0.052,,,0.06,0.0002,,0.94,0.0009,,,,4.6,,,2.26,0.002,,,0.0011,,,,0.02,0.0002,,,,,,,,,0.03,,,,,,,7.63,,,0.006,,,,,0.8,,,,,,0.561,,,,,,,,,,0.0002,,5.04,,0.005,0.0001,,5.2,,179.0,,163.0,0.145,,,,,,,1.0,1.0,,,,,0.009,,,,,,,,,,,1.3,,0.239,,,,0.0005,,,,,,,0.84,0.0007,,
2000-03-21 13:31:00,00PY001399,BC08NL0005,,,,,0.043,,,,,,,0.0011,,31.0,0.0297,,0.002,0.05,,,,,,6.18,,,,0.005,0.0001,,28.0,,19.4,0.5,,,,,,,,,,,,0.0002,,0.51,0.0005,2.5,,,0.88,0.0008,1.3,0.5,,,,,,2.0,0.06,,,,,0.013,,,,,,,90.5,,,,,,,,,0.049,,0.036,,,0.04,0.0002,,1.24,0.0012,,,,5.0,,,6.64,0.0061,,,0.0016,,,,0.02,0.0002,,,,,,,,,0.11,,,,,,,7.77,,,0.009,,,,,0.9,,,,,,0.589,,,,,,,,,,0.0003,,5.65,,0.005,0.0001,,4.7,,206.0,,169.0,0.155,,,,,,,14.0,9.0,,,,,0.005,,,,,,,,,,,0.88,,0.687,,,0.72,0.0006,,,,,,,0.75,0.0007,,
2000-03-29 09:45:00,00PY001632,BC08NM0001,,,,,0.031,,,,,,,,,,0.0282,,,0.05,,,,,,,,,,,0.0001,,35.0,,28.8,3.6,,,,,,,,,5.9,,,0.0002,,,0.0001,5.0,,,,0.0006,,,,,,,,4.0,,,,,,,,,,,,,129.6,,,,,,,,,0.0587,,,,,,0.0003,,,0.0038,,,,10.2,,,,0.0148,,,0.0032,,,,,0.0004,,,,,,,,,0.16,,,,,,,7.8,,0.011,0.003,,,,,2.5,,,,,,,,,,,,,,,,,,2.79,,,0.0001,,10.9,,303.0,,,0.334,,,,,,,12.0,9.0,,,,,,,,,,,,,,,,1.1,,,,,,0.0006,,,,,,,,0.0008,,
2000-04-04 12:15:00,00PY001730,BC08NL0001,,,,,1.14,,,,,,,0.0003,,27.2,0.0278,,0.033,0.05,,,,,,5.61,,,,0.017,0.0001,,17.7,,13.1,6.3,,,,,,,,,,,0.96,0.0013,,0.324,0.0004,50.0,,,3.59,0.004,0.6,0.5,,,,,,1.0,0.05,,,,,0.166,,,,,,,59.8453,,,,,,,,,0.928,,0.618,,,0.34,0.0009,,0.81,0.001,,,,3.8,,,14.5,0.0151,,,0.0007,,,,1.03,0.0009,,,,,,,,,0.13,,,,,,,7.43,,,0.016,,,,,0.8,,,,,,1.15,,,,,,,,,,0.0002,,6.74,,0.006,0.0001,,5.1,,146.0,,125.0,0.12,,,,,,,10.0,6.0,,,,,0.01,,,,,,,,,,,13.0,,0.23,,,,0.0026,,,,,,,2.36,0.0029,,
2000-04-04 13:31:00,00PY001734,BC08NL0005,,,,,0.284,,,,,,,0.0007,,30.5,0.0306,,0.01,0.05,,,,,,5.99,,,,0.014,0.0001,,23.2,,16.5,2.5,,,,,,,,,,,,0.0004,,0.762,0.0007,12.5,,,2.06,0.0019,1.3,0.5,,,,,,12.0,0.06,,,,,0.064,,,,,,,76.1,,,,,,,,,0.363,,0.193,,,0.14,0.0002,,1.1,0.0011,,,,4.4,,,13.0,0.013,,,0.0013,,,,1.27,0.0006,,,,,,,,,0.11,,,,,,,7.86,,,0.01,,,,,0.9,,,,,,0.723,,,,,,,,,,0.0002,,5.66,,0.005,0.0002,,4.4,,175.0,,144.0,0.136,,,,,,,17.0,10.0,,,,,0.005,,,,,,,,,,,4.0,,0.514,,,1.12,0.0012,,,,,,,1.36,0.0015,,
