SITE_NO,DATE_TIME_HEURE,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA DISSOLVED,ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BISMUTH DISSOLVED,BISMUTH EXTRACTABLE,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE,BROMIDE DISSOLVED,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC,CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,CYANIDE WEAK ACID DISSOCIABLE,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FLUORIDE DISSOLVED,GADOLINIUM DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM DISSOLVED,GALLIUM EXTRACTABLE,GALLIUM TOTAL,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS DISSOLVED CACO3,HARDNESS TOTAL (CALCD.) CACO3,HOLMIUM DISSOLVED,HOLMIUM TOTAL,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM EXTRACTABLE,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM EXTRACTABLE,NIOBIUM TOTAL,NITROGEN DISSOLVED NITRITE,NITROGEN NITRITE,NITROGEN TOTAL,NITROGEN TOTAL DISSOLVED,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,PALLADIUM DISSOLVED,PALLADIUM TOTAL,PH,PH (FIELD),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FILTERABLE,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM EXTRACTABLE,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SILICON DISSOLVED,SILICON EXTRACTABLE,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE,SPECIFIC CONDUCTANCE,STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (AIR),TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
YT09AB0006,2006-05-17 11:20,43.6,,,129.0,,,,0.096,,,0.54,,,28.8,,,0.002,,,0.003,,,1.8,,0.05,,,0.014,,14.8,10.3,0.8,10.4,1.0,,,,,0.3,,,0.397,,,0.089,2.5,102.0,,,0.65,,,,0.018,,,1.0,0.12,,,,,0.052,,,,,,48.0,,,,,,,,,208.0,,,0.085,,,0.098,,,0.7,,,,2.7,,,11.3,,,1.43,,,,,0.6,,,,,0.005,,0.06,0.05,,11.7,,,8.04,7.58,0.0109,,,,,0.7,,,,,,,0.9,,,,,,,,,0.13,,1.55,,,0.001,,1.1,97.0,,,75.4,6.0,,,,6.1,,,,,,0.002,,,,,,,4.11,,,0.718,,,0.483,,,,,,,0.71,,
YT09AB0006,2006-06-19 12:05,40.7,,,109.0,,,,0.093,,,0.5,,,27.6,,,0.004,,,0.001,,,1.7,,0.05,,,0.01,,14.2,9.3,1.2,9.4,1.0,,,,,0.2,,,0.283,,,0.055,2.5,95.0,,,0.55,,,,0.002,,,2.0,0.12,,,,,0.035,,,,,,46.0,,,,,,,,,116.0,,,,,,0.064,,,0.6,,,,2.5,,,4.88,,,1.49,,,,,0.46,,,,,0.005,,0.04,0.05,,,,,7.94,7.51,0.0046,,,,,0.7,,,,,,,0.86,,,,,,,,,0.11,,1.37,,,0.001,,1.1,91.0,,,75.2,6.2,,,15.0,12.5,,,,,,0.003,,,,,,,1.97,,,0.713,,,0.367,,,,,,,0.39,,
YT09AB0006,2006-07-19 13:18,38.5,,,55.8,,,,0.092,,,0.44,,,25.3,,,0.002,,,,,,1.2,,0.05,,,0.01,,13.7,8.5,0.5,8.6,0.5,,,,,0.1,,,0.178,,,0.027,2.5,81.1,,,0.43,,,,0.002,,,1.0,0.16,,,,,0.028,,,,,,43.6,,,,,,,,,58.7,,,0.026,,,0.054,,,0.5,,,,2.3,,,3.17,,,1.53,,,,,0.29,,,,,0.005,,0.07,0.05,,9.8,,,7.96,8.09,0.0035,,,,,0.7,,,,,,,0.82,,,,,,,,,0.07,,1.27,,,0.001,,1.0,90.0,,,73.6,7.0,,,16.0,16.0,,,,,,0.002,,,,,,,0.86,,,0.686,,,0.276,,,,,,,0.29,,
YT09AB0006,2006-08-07 10:30,37.1,,,33.0,,,,0.096,,,0.39,,,24.4,,,0.001,,,0.001,,,0.5,,0.05,,,0.012,,13.8,8.5,0.9,8.7,0.9,,,,,0.3,,,0.193,,,0.031,5.0,88.0,,,1.07,,,,0.002,,,1.0,0.11,,,,,0.022,,,,,,43.7,,,,,,,,,42.5,,,0.02,,,0.041,,,0.6,,,,2.3,,,2.55,,,1.54,,,,,0.27,,,,,0.005,,0.07,,0.005,,,,,7.8,,,,,,0.7,,,,,,,0.78,,,,,,,,,0.09,,1.21,,,0.001,,1.0,88.0,,,70.3,5.4,,,12.5,14.0,,,,,,0.002,,,,,,,0.8,,,0.637,,,0.22,,,,,,,0.41,,
YT09AB0006,2006-09-18 12:30,40.2,,,26.0,,,,0.095,,,0.42,,,25.4,,,0.001,,,0.001,,,1.3,,0.05,,,0.006,,,8.7,0.5,8.8,0.5,,,,,0.2,,,0.091,,,0.016,5.0,87.1,,,0.3,,,,0.007,,,1.0,0.12,,,,,0.019,,,,,,,,,,,,,,,27.8,,,0.012,,,0.022,,,0.5,,,,,,,1.72,,,1.52,,,,,0.15,,,,,0.008,,0.03,,,10.4,,,,7.5,0.0047,,,,,,,,,,,,0.82,,,,,,,,,0.09,,,,,0.001,,,88.0,,,69.8,6.4,,,9.2,10.5,,,,,,0.002,,,,,,,0.3,,,0.628,,,0.166,,,,,,,0.13,,
YT09AB0006,2006-10-18 13:00,,,,21.7,,,,0.095,,,0.41,,,25.7,,,0.001,,,0.001,,,1.8,,0.05,,,,,13.8,9.5,0.6,9.5,1.0,,,,,0.2,,,0.08,,,0.011,2.5,90.3,,,,,,,0.002,,,1.0,0.11,,,,,0.016,,,,,,44.3,,,,,,,,,20.1,,,0.01,,,,,,0.5,,,,2.4,,,1.33,,,1.44,,,,,,,,,,,,0.02,,,11.1,,,,7.7,0.0024,,,,,0.8,,,,,,,0.81,,,,,,,,,0.09,,1.21,,,0.001,,1.0,89.0,,,71.8,6.6,,,2.0,5.5,,,,,,0.001,,,,,,,0.4,,,0.652,,,0.157,,,,,,,,,
YT09AB0006,2006-12-11 09:35,46.4,,,16.1,,,,0.103,,,0.38,,,23.5,,,0.003,,,0.002,,,1.7,,0.05,,,0.014,,14.7,9.7,0.8,9.8,0.7,,,,,0.2,,,0.12,,,0.019,2.5,90.2,,,0.26,,,,0.003,,,1.0,0.1,,,,,0.018,,,,,,47.5,,,,,,,,,16.1,,,0.01,,,0.083,,,0.6,,,,2.6,,,1.17,,,1.46,,,,,0.2,,,,,0.005,,0.04,0.05,,,,,,7.7,,,,,,0.8,,,,,,,0.84,,,,,,,,,0.1,,1.33,,,0.001,,1.1,96.0,,,68.9,7.0,,,-6.5,0.0,,,,,,,,,,,,,0.26,,,0.655,,,0.167,,,,,,,0.37,,
YT09AB0006,2007-01-17 09:25,45.2,,,9.2,,,,0.109,,,0.35,,,28.2,,,0.002,,,0.001,,,1.7,,0.05,,,,,14.5,9.9,0.7,9.9,0.6,,,,,0.1,,,0.13,,,0.008,2.5,96.8,,,0.35,,,,0.002,,,1.0,0.1,,,,,0.016,,,,,,46.9,,,,,,,,,9.1,,,0.005,,,0.197,,,0.6,,,,2.6,,,1.06,,,1.43,,,,,0.16,,,,,0.005,,0.05,,,11.5,,,,7.7,,,,,,0.8,,,,,,,0.83,,,,,,,,,0.11,,1.28,,,0.001,,1.0,97.0,,,71.9,6.9,,,-17.0,0.0,,,,,,0.002,,,,,,,0.12,,,0.665,,,0.143,,,,,,,1.01,,
YT09AB0006,2007-02-14 09:25,47.3,,,9.2,,,,0.092,,,0.41,,,26.7,,,0.001,,,0.001,,,1.4,,0.07,,,,,14.4,9.2,0.5,9.0,0.5,,,,,0.2,,,0.07,,,0.012,2.5,,,,0.23,,,,,,,1.0,0.09,,,,,0.016,,,,,,46.0,,,,,,,,,11.1,,,0.006,,,0.019,,,0.5,,,,2.4,,,1.45,,,1.53,,,,,0.1,,,,,0.005,,0.05,,,11.6,,,,7.21,0.0005,,,,,0.8,,,,,,,0.81,,,,,,,,,0.1,,1.35,,,0.001,,1.1,,,,74.6,8.4,,,-18.0,-0.1,,,,,,0.004,,,,,,,0.17,,,0.671,,,0.143,,,,,,,,,
YT09AB0006,2007-03-14 09:35,47.3,,,9.2,,,,0.102,,,0.45,,,26.4,,,0.001,,,0.001,,,1.5,,0.05,,,0.005,,14.1,9.4,0.5,9.3,0.6,,,,,0.2,,,0.076,,,0.021,2.5,96.4,,,0.36,,,,0.029,,,1.0,0.12,,,,,0.021,,,,,,45.4,,,,,,,,,10.0,,,0.005,,,0.048,,,0.5,,,,2.4,,,1.23,,,1.52,,,,,0.11,,,,,0.013,,0.05,,,11.6,,,,7.4,0.0005,,,,,0.7,,,,,,,0.79,,,,,,,,,0.13,,1.25,,,0.006,,1.0,94.0,,,75.5,8.9,,,-17.0,-0.1,,,,,,0.001,,,,,,,0.15,,,0.675,,,0.137,,,,,,,0.27,,
