SITE_NO,DATE_TIME_HEURE,ALKALINITY TOTAL CACO3,ALUMINUM DISSOLVED,ALUMINUM EXTRACTABLE,ALUMINUM TOTAL,AMMONIA DISSOLVED,ANTIMONY DISSOLVED,ANTIMONY EXTRACTABLE,ANTIMONY TOTAL,ARSENIC DISSOLVED,ARSENIC EXTRACTABLE,ARSENIC TOTAL,BARIUM DISSOLVED,BARIUM EXTRACTABLE,BARIUM TOTAL,BERYLLIUM DISSOLVED,BERYLLIUM EXTRACTABLE,BERYLLIUM TOTAL,BISMUTH DISSOLVED,BISMUTH EXTRACTABLE,BISMUTH TOTAL,BORON DISSOLVED,BORON EXTRACTABLE,BORON TOTAL,BROMIDE,BROMIDE DISSOLVED,CADMIUM DISSOLVED,CADMIUM EXTRACTABLE,CADMIUM TOTAL,CALCIUM DISSOLVED,CALCIUM EXTRACTABLE/UNFILTERED,CARBON DISSOLVED INORGANIC,CARBON DISSOLVED ORGANIC,CARBON TOTAL INORGANIC,CARBON TOTAL ORGANIC,CERIUM DISSOLVED,CERIUM TOTAL,CESIUM DISSOLVED,CESIUM TOTAL,CHLORIDE DISSOLVED,CHROMIUM DISSOLVED,CHROMIUM EXTRACTABLE,CHROMIUM TOTAL,COBALT DISSOLVED,COBALT EXTRACTABLE,COBALT TOTAL,COLOUR TRUE,CONDUCTANCE (FIELD),COPPER DISSOLVED,COPPER EXTRACTABLE,COPPER TOTAL,CYANIDE TOTAL,CYANIDE WEAK ACID DISSOCIABLE,DISSOLVED NITRITE/NITRATE,DISSOLVED NITROGEN NITRATE,EUROPIUM DISSOLVED,EUROPIUM TOTAL,FECAL COLIFORMS,FLUORIDE DISSOLVED,GADOLINIUM DISSOLVED,GADOLINIUM TOTAL RECOVERABLE,GALLIUM DISSOLVED,GALLIUM EXTRACTABLE,GALLIUM TOTAL,GERMANIUM DISSOLVED,GERMANIUM TOTAL,HAFNIUM DISSOLVED,HAFNIUM TOTAL,HARDNESS DISSOLVED CACO3,HARDNESS TOTAL (CALCD.) CACO3,HOLMIUM DISSOLVED,HOLMIUM TOTAL,INDIUM DISSOLVED,INDIUM TOTAL,IRIDIUM DISSOLVED,IRIDIUM TOTAL,IRON DISSOLVED,IRON EXTRACTABLE,IRON TOTAL,LANTHANUM DISSOLVED,LANTHANUM EXTRACTABLE,LANTHANUM TOTAL,LEAD DISSOLVED,LEAD EXTRACTABLE,LEAD TOTAL,LITHIUM DISSOLVED,LITHIUM EXTRACTABLE,LITHIUM TOTAL,LUTETIUM DISSOLVED,LUTETIUM TOTAL,MAGNESIUM DISSOLVED,MAGNESIUM EXTRACTABLE/UNFILTERED,MANGANESE DISSOLVED,MANGANESE EXTRACTABLE,MANGANESE TOTAL,MOLYBDENUM DISSOLVED,MOLYBDENUM EXTRACTABLE,MOLYBDENUM TOTAL,NEODYMIUM DISSOLVED,NEODYMIUM TOTAL,NICKEL DISSOLVED,NICKEL EXTRACTABLE,NICKEL TOTAL,NIOBIUM DISSOLVED,NIOBIUM EXTRACTABLE,NIOBIUM TOTAL,NITROGEN DISSOLVED NITRITE,NITROGEN NITRITE,NITROGEN TOTAL,NITROGEN TOTAL DISSOLVED,ORTHOPHOSPHATE DISSOLVED,ORTHOPHOSPHORUS DISSOLVED,OXYGEN DISSOLVED,PALLADIUM DISSOLVED,PALLADIUM TOTAL,PH,PH (FIELD),PHOSPHORUS TOTAL,PHOSPHORUS TOTAL DISSOLVED,PLATINUM DISSOLVED,PLATINUM TOTAL,POTASSIUM DISSOLVED/FILTERED,POTASSIUM EXTRACTABLE,PRASEODYMIUM DISSOLVED,PRASEODYMIUM TOTAL,RESIDUE FILTERABLE,RESIDUE NONFILTERABLE,RUBIDIUM DISSOLVED,RUBIDIUM EXTRACTABLE,RUBIDIUM TOTAL,RUTHENIUM DISSOLVED,RUTHENIUM TOTAL,SAMARIUM DISSOLVED,SAMARIUM TOTAL,SCANDIUM DISSOLVED,SCANDIUM TOTAL,SELENIUM DISSOLVED,SELENIUM EXTRACTABLE,SELENIUM TOTAL,SILICON DISSOLVED,SILICON EXTRACTABLE,SILVER DISSOLVED,SILVER EXTRACTABLE,SILVER TOTAL,SODIUM DISSOLVED/FILTERED,SODIUM EXTRACTABLE,SPECIFIC CONDUCTANCE,STRONTIUM DISSOLVED,STRONTIUM EXTRACTABLE,STRONTIUM TOTAL,SULPHATE DISSOLVED,TELLURIUM DISSOLVED,TELLURIUM TOTAL,TEMPERATURE (AIR),TEMPERATURE (WATER),TEMPERATURE WATER (FIELD),TERBIUM DISSOLVED,TERBIUM TOTAL,THALLIUM DISSOLVED,THALLIUM EXTRACTABLE,THALLIUM TOTAL,TIN DISSOLVED,TIN TOTAL,TITANIUM DISSOLVED,TITANIUM TOTAL,TUNGSTEN DISSOLVED,TUNGSTEN TOTAL,TURBIDITY,URANIUM DISSOLVED,URANIUM EXTRACTABLE,URANIUM TOTAL,VANADIUM DISSOLVED,VANADIUM EXTRACTABLE,VANADIUM TOTAL,YTTERBIUM DISSOLVED,YTTERBIUM TOTAL,YTTRIUM DISSOLVED,YTTRIUM TOTAL,ZINC DISSOLVED,ZINC EXTRACTABLE,ZINC TOTAL,ZIRCONIUM DISSOLVED,ZIRCONIUM TOTAL
YT09AB0006,2021-11-15 11:25,46.8,,,17.9,,,,0.101,,,0.36,,,27.7,,,0.01,,,0.001,,,1.5,,0.02,,,0.004,16.0,,10.8,0.6,10.9,0.5,,0.018,,0.003,0.17,,,0.09,,,0.01,2.6,107.0,,,0.31,,,,0.005,,,,0.09,,,,,0.015,,,,,52.5,,,,,,,,,,23.7,,,0.012,,,0.01,,,0.55,,,3.0,,,,2.97,,,1.61,,,,,0.23,,,0.002,0.005,,0.08,0.06,,,12.9,,0.002,7.86,7.23,0.0025,0.0012,,0.002,0.8,,,,,2.0,,,0.84,,,,,,,,,0.15,1.7,,,,0.001,1.3,,107.0,,,78.8,8.1,,,10.7,0.1,,,,,,0.003,,0.01,,0.5,,0.027,0.45,,,0.789,,,0.16,,,,0.014,,,0.2,,
YT09AB0006,2021-12-07 11:25,45.2,,,21.7,,,,0.102,,,0.38,,,25.5,,,0.01,,,0.001,,,1.7,,0.02,,,0.004,16.1,,10.8,0.4,10.7,0.7,,0.014,,0.003,0.15,,,0.07,,,0.011,2.1,104.0,,,0.32,,,,0.062,,,,0.1,,,,,0.016,,,,,52.6,,,,,,,,,,24.4,,,0.01,,,0.03,,,0.55,,,3.0,,,,2.85,,,1.54,,,,,0.16,,,0.002,0.005,,0.06,0.06,,,13.4,,0.002,7.82,7.6,0.0011,0.0005,,0.002,0.8,,,,,2.0,,,0.81,,,,,,,,,0.13,1.7,,,,0.001,1.4,,105.0,,,75.4,9.4,,,-6.7,-0.1,,,,,,0.003,,0.01,,0.36,,0.026,0.34,,,0.731,,,0.15,,,,0.011,,,0.2,,
YT09AB0006,2022-01-17 12:50,44.6,,,29.1,,,,0.104,,,0.4,,,26.9,,,0.01,,,0.001,,,1.5,,0.02,,,0.006,16.0,,10.5,0.7,10.5,0.7,,0.023,,0.004,0.16,,,0.13,,,0.019,1.8,106.0,,,0.38,,,,0.026,,,,0.09,,,,,0.018,,,,,51.4,,,,,,,,,,38.1,,,0.015,,,0.54,,,0.53,,,2.8,,,,2.6,,,1.43,,,,,0.9,,,0.003,0.005,,0.06,0.06,,,12.3,,0.002,7.85,7.17,0.0009,0.0005,,0.002,0.8,,,,,2.0,,,0.8,,,,,,,,,0.12,1.5,,,,0.001,1.2,,104.0,,,70.6,7.8,,,-6.1,-0.1,,,,,,0.005,,0.01,,0.97,,0.026,0.51,,,0.7,,,0.19,,,,0.014,,,0.2,,
YT09AB0006,2022-02-22 12:45,44.2,,,18.0,,,,0.101,,,0.41,,,27.3,,,0.01,,,0.001,,,1.6,,0.02,,,0.006,15.9,,10.4,0.3,10.4,0.3,,0.02,,0.003,0.18,,,0.12,,,0.01,1.4,83.1,,,0.33,,,,0.019,,,,0.11,,,,,0.018,,,,,51.2,,,,,,,,,,27.2,,,0.013,,,0.04,,,0.58,,,2.8,,,,3.25,,,1.57,,,,,0.15,,,0.001,0.005,,0.08,0.06,,,11.8,,0.002,7.78,7.81,0.0034,0.0005,,0.002,0.8,,,,,2.0,,,0.81,,,,,,,,,0.12,1.6,,,,0.001,1.3,,96.0,,,79.4,8.6,,,-9.9,-0.1,,,,,,0.003,,0.01,,0.48,,0.018,0.35,,,0.834,,,0.17,,,,0.017,,,0.2,,
YT09AB0006,2022-03-21 11:45,45.9,,,15.7,,,,0.093,,,0.39,,,29.0,,,0.01,,,0.002,,,1.6,,0.02,,,0.005,15.4,,10.4,0.7,10.5,0.6,,0.038,,0.004,0.16,,,0.09,,,0.014,1.4,108.0,,,0.29,,,,0.023,,,,0.1,,,,,0.016,,,,,49.5,,,,,,,,,,27.5,,,0.012,,,0.01,,,0.64,,,2.7,,,,2.93,,,1.63,,,,,0.18,,,0.002,0.005,,0.07,0.07,,,12.2,,0.002,7.92,9.94,0.0016,0.0005,,0.002,0.7,,,,,2.0,,,0.81,,,,,,,,,0.13,1.5,,,,0.001,1.2,,102.0,,,77.2,8.6,,,-1.0,0.1,,,,,,0.003,,0.01,,0.61,,0.025,0.4,,,0.88,,,0.16,,,,0.015,,,0.2,,
YT09AB0006,2022-04-05 11:20,49.4,,,159.0,,,,0.095,,,0.58,,,31.5,,,0.01,,,0.002,,,1.7,,0.02,,,0.01,16.5,,11.2,0.6,11.3,0.7,,0.196,,0.017,0.3,,,0.43,,,0.1,1.4,108.0,,,0.67,,,,0.017,,,,0.1,,,,,0.057,,,,,54.2,,,,,,,,,,291.0,,,0.101,,,0.12,,,0.62,,,3.2,,,,9.08,,,1.59,,,,,0.53,,,0.018,0.005,,0.08,0.07,,,11.7,,0.002,7.93,,0.0103,0.0005,,0.002,0.8,,,,,4.0,,,0.96,,,,,,,,,0.11,1.7,,,,0.003,1.4,,113.0,,,91.8,8.7,,,0.1,0.5,,,,,,0.003,,0.01,,7.76,,0.026,1.74,,,0.858,,,0.54,,,,0.086,,,0.5,,
YT09AB0006,2022-05-30 11:30,61.7,,,767.0,,,,0.117,,,0.9,,,49.6,,,0.03,,,0.009,,,2.3,,0.02,,,0.019,20.7,,13.2,3.1,13.2,3.4,,0.862,,0.081,0.18,,,2.01,,,0.502,12.6,125.0,,,2.22,,,,0.012,,,,0.08,,,,,0.224,,,,,68.3,,,,,,,,,,968.0,,,0.456,,,0.45,,,1.03,,,4.1,,,,40.9,,,1.32,,,,,2.69,,,0.07,0.005,,0.16,0.12,,,11.9,,0.002,8.05,7.75,0.0357,0.0019,,0.002,0.8,,,,,27.0,,,1.55,,,,,,,,,0.14,2.4,,,,0.006,1.5,,132.0,,,93.0,7.0,,,18.5,6.7,,,,,,0.01,,0.01,,37.9,,0.036,19.9,,,0.832,,,2.32,,,,0.386,,,3.5,,
YT09AB0006,2022-06-07 11:30,58.1,,,1440.0,,,,0.123,,,1.29,,,67.5,,,0.05,,,0.021,,,2.3,,0.02,,,0.031,18.5,,13.2,3.2,13.2,3.4,,1.71,,0.157,0.17,,,3.76,,,0.963,19.1,119.0,,,3.65,,,,0.004,,,,0.07,,,,,0.469,,,,,61.0,,,,,,,,,,1840.0,,,0.866,,,0.81,,,1.48,,,3.6,,,,65.9,,,1.23,,,,,4.9,,,0.128,0.005,,0.2,0.13,,,10.7,,0.002,7.95,7.46,0.0676,0.003,,0.002,0.8,,,,,59.0,,,2.4,,,,,,,,,0.13,2.3,,,,0.013,1.4,,124.0,,,89.5,6.7,,,14.8,9.2,,,,,,0.018,,0.02,,71.3,,0.048,38.2,,,0.784,,,4.26,,,,0.775,,,6.0,,
YT09AB0006,2022-07-05 10:00,50.1,,,219.0,,,,0.098,,,0.59,,,31.6,,,0.01,,,0.005,,,1.5,,0.02,,,0.006,16.8,,11.4,1.5,11.4,1.6,,0.29,,0.027,0.17,,,0.67,,,0.144,4.3,111.0,,,0.84,,,,0.002,,,,0.1,,,,,0.075,,,,,55.4,,,,,,,,,,282.0,,,0.16,,,0.16,,,0.57,,,3.3,,,,9.52,,,1.53,,,,,0.99,,,0.022,0.005,,0.09,0.07,,,9.36,,0.002,7.92,7.66,0.0146,0.0014,,0.002,0.7,,,,,8.0,,,0.98,,,,,,,,,0.14,1.9,,,,0.005,1.4,,111.0,,,85.9,8.2,,,24.9,18.0,,,,,,0.005,,0.01,,10.3,,0.031,3.79,,,0.825,,,0.79,,,,0.131,,,0.8,,
YT09AB0006,2022-08-04 15:15,44.4,,,70.3,,,,0.079,,,0.45,,,24.0,,,0.01,,,0.002,,,1.0,,0.02,,,0.008,14.9,,10.1,1.1,10.2,1.3,,0.079,,0.009,0.15,,,0.21,,,0.038,2.9,101.0,,,0.39,,,,0.002,,,,0.1,,,,,0.03,,,,,48.2,,,,,,,,,,93.0,,,0.042,,,0.06,,,0.54,,,2.6,,,,3.89,,,1.58,,,,,0.19,,,0.007,0.005,,0.08,0.04,,,9.71,,0.002,7.92,7.77,0.0056,0.0014,,0.002,0.7,,,,,3.0,,,0.78,,,,,,,,,0.1,1.4,,,,0.001,1.1,,101.0,,,72.8,8.0,,,23.1,15.1,,,,,,0.003,,0.01,,3.26,,0.067,1.46,,,0.665,,,0.34,,,,0.045,,,0.3,,
YT09AB0006,2022-09-28 11:15,43.3,,,43.4,,,,0.095,,,0.43,,,27.1,,,0.01,,,0.001,,,1.6,,0.02,,,0.005,14.2,,9.7,0.6,9.7,0.7,,0.042,,0.005,0.14,,,0.16,,,0.023,1.9,96.7,,,0.39,,,,0.002,,,,0.1,,,,,0.017,,,,,45.9,,,,,,,,,,47.2,,,0.022,,,0.05,,,0.54,,,2.6,,,,2.38,,,1.41,,,,,0.27,,,0.003,0.005,,0.06,0.04,,,10.2,,0.002,7.86,7.58,0.004,0.0005,,0.002,0.8,,,,,2.0,,,0.84,,,,,,,,,0.11,1.3,,,,0.001,1.2,,99.0,,,75.5,7.9,,,6.8,9.8,,,,,,0.003,,0.01,,1.95,,0.024,0.71,,,0.65,,,0.24,,,,0.022,,,0.2,,
YT09AB0006,2022-10-11 14:00,43.0,,,42.4,,,,0.098,,,0.35,,,26.3,,,0.01,,,0.001,,,1.5,,0.02,,,0.005,15.0,,9.5,0.5,9.6,0.4,,0.038,,0.005,0.21,,,0.15,,,0.021,1.1,96.2,,,0.35,,,,0.002,,,,0.06,,,,,0.027,,,,,48.2,,,,,,,,,,46.0,,,0.024,,,0.04,,,0.5,,,2.6,,,,2.01,,,1.42,,,,,0.27,,,0.003,0.005,,0.06,0.06,,,10.6,,0.002,7.88,7.41,0.0036,0.0008,,0.002,0.8,,,,,2.0,,,0.86,,,,,,,,,0.11,1.3,,,,0.001,1.2,,98.0,,,72.8,7.4,,,12.1,8.7,,,,,,0.003,,0.01,,1.37,,0.02,0.51,,,0.691,,,0.24,,,,0.02,,,0.2,,
YT09AB0006,2022-11-01 11:30,43.2,,,59.4,,,,0.13,,,0.41,,,27.6,,,0.01,,,0.001,,,1.5,,0.02,,,0.013,14.1,,9.9,0.3,9.9,0.6,,0.047,,0.008,0.2,,,0.41,,,0.023,1.6,98.1,,,1.53,,,,0.006,,,,0.06,,,,,0.018,,,,,45.7,,,,,,,,,,57.0,,,0.025,,,0.11,,,0.47,,,2.5,,,,1.99,,,1.67,,,,,0.29,,,0.005,0.005,,0.06,0.04,,,11.6,,0.002,7.85,7.56,0.0035,0.0005,,0.002,0.7,,,,,2.0,,,0.88,,,,,,,,,0.11,1.3,,,,0.002,1.1,,99.0,,,78.6,7.5,,,-3.1,3.9,,,,,,0.003,,0.01,,1.92,,0.034,0.76,,,0.66,,,0.28,,,,0.021,,,0.9,,
YT09AB0006,2022-12-06 13:15,45.8,,,24.9,,,,0.095,,,0.36,,,28.4,,,0.01,,,0.001,,,1.6,,0.02,,,0.008,15.6,,11.5,0.3,11.6,0.3,,0.023,,0.004,0.17,,,0.13,,,0.017,1.6,105.0,,,0.39,,,,0.007,,,,0.09,,,,,0.017,,,,,50.7,,,,,,,,,,33.3,,,0.017,,,0.06,,,0.54,,,2.8,,,,2.23,,,1.48,,,,,0.22,,,0.002,0.005,,0.03,0.02,,,12.2,,0.002,7.84,7.64,0.0025,0.0006,,0.002,0.8,,,,,2.0,,,0.82,,,,,,,,,0.12,1.5,,,,0.001,1.3,,107.0,,,77.5,7.6,,,-8.0,0.7,,,,,,0.003,,0.01,,0.9,,0.022,0.42,,,0.711,,,0.2,,,,0.018,,,0.2,,
YT09AB0006,2023-01-16 11:36,45.4,6.6,,20.5,,0.102,,0.1,0.34,,0.41,28.6,,29.5,0.01,,0.01,0.001,,0.001,1.7,,2.8,,0.02,0.006,,0.01,16.2,,10.7,0.4,10.8,0.6,0.002,0.014,0.002,0.003,0.18,0.06,,0.14,0.003,,0.022,1.0,108.0,0.27,,0.75,,,,0.025,,,,0.1,,,0.017,,0.022,,,,,52.2,,,,,,,,3.9,,23.6,0.005,,0.012,0.02,,0.35,0.57,,0.58,,,2.8,,1.39,,2.14,1.46,,1.42,,,0.14,,1.43,0.001,,0.001,0.005,,0.07,0.07,,,12.8,0.002,0.003,7.79,7.39,0.0019,0.0018,0.002,0.002,0.8,,,,,2.0,0.8,,0.86,,,,,,,0.12,,0.12,1.5,,0.001,,0.001,1.2,,106.0,81.8,,82.6,8.0,,,-7.3,0.1,,,,0.003,,0.003,0.01,0.02,0.05,0.59,0.018,0.023,0.21,0.728,,0.76,0.14,,0.2,,,0.007,0.013,0.2,,1.6,,
YT09AB0006,2023-02-13 14:55,45.0,4.9,,15.1,,0.089,,0.106,0.31,,0.37,28.5,,28.4,0.01,,0.01,0.001,,0.001,1.7,,1.7,,0.02,0.004,,0.004,16.1,,10.4,0.6,10.5,0.4,0.002,0.013,0.002,0.004,0.17,0.09,,0.1,0.006,,0.013,1.1,108.0,0.24,,0.31,,,0.03,0.023,,,,0.09,,,0.012,,0.019,,,,,51.7,,,,,,,,3.0,,18.5,0.004,,0.012,0.01,,0.08,0.53,,0.57,,,2.8,,1.32,,1.89,1.52,,1.57,,,0.15,,0.19,0.001,,0.001,0.005,0.002,0.06,0.06,,,12.7,0.002,0.002,7.77,7.45,0.0026,0.0007,0.002,0.002,0.8,,,,,2.0,0.81,,0.81,,,,,,,0.14,,0.13,1.5,,0.001,,0.001,1.2,,104.0,77.6,,76.7,8.3,,,0.0,0.1,,,,0.004,,0.003,0.01,0.01,0.06,0.45,0.028,0.028,0.18,0.776,,0.793,0.17,,0.17,,,0.007,0.013,0.2,,0.2,,
YT09AB0006,2023-03-14 11:37,44.8,4.4,,15.7,,0.105,,0.122,0.31,,0.34,27.4,,27.6,0.01,,0.01,0.001,,0.001,2.4,,2.2,,0.02,0.005,,0.004,15.0,,12.0,0.7,12.0,0.8,0.003,0.014,0.002,0.003,0.21,0.08,,0.11,0.027,,0.04,1.0,108.0,0.38,,0.31,,,,0.027,,,,0.11,,,0.014,,0.019,,,,,48.4,,,,,,,,3.6,,22.1,0.004,,0.012,0.07,,0.08,0.55,,0.56,,,2.7,,2.03,,2.56,1.54,,1.56,,,0.15,,0.15,0.001,,0.002,0.005,,0.07,0.06,,,12.9,0.002,0.002,7.79,6.01,0.0021,0.0005,0.002,0.002,0.8,,,,,2.0,0.82,,0.81,,,,,,,0.16,,0.14,1.4,,0.001,,0.003,1.3,,99.0,81.3,,76.0,8.4,,,14.5,0.0,,,,0.016,,0.022,0.01,0.01,0.05,0.53,0.03,0.024,0.2,0.769,,0.754,0.14,,0.14,,,0.008,0.012,0.2,,0.2,,
YT09AB0006,2023-04-04 11:25,44.3,3.5,,28.2,,0.09,,0.089,0.34,,0.43,27.0,,27.2,0.01,,0.01,0.001,,0.001,1.1,,1.1,,0.02,0.005,,0.006,14.5,,10.7,0.4,10.4,0.4,0.003,0.039,0.001,0.005,0.16,0.05,,0.11,0.002,,0.021,1.7,106.0,0.28,,0.28,,,,0.026,,,,0.1,,,0.009,,0.019,,,,,46.7,,,,,,,,2.5,,40.2,0.004,,0.023,0.01,,0.03,0.51,,0.49,,,2.6,,1.69,,3.02,1.56,,1.54,,,0.06,,0.14,0.001,,0.003,0.005,,0.09,0.07,,,12.8,0.002,0.002,7.8,7.41,0.0033,0.0005,0.002,0.002,0.6,,,,,2.0,0.78,,0.82,,,,,,,0.16,,0.1,1.4,,0.001,,0.001,1.1,,103.0,83.3,,83.5,8.2,,,-5.5,0.1,,,,0.003,,0.003,0.01,0.01,0.05,1.23,0.026,0.027,0.31,0.797,,0.767,0.11,,0.18,,,0.007,0.024,0.2,,0.2,,
YT09AB0006,2023-05-24 14:50,50.3,10.4,,465.0,,0.097,,0.108,0.43,,0.62,30.3,,40.3,0.01,,0.01,0.001,,0.006,1.8,,1.7,,0.02,0.007,,0.013,16.5,,11.8,1.1,11.8,1.1,0.037,0.508,0.001,0.051,0.11,0.1,,1.11,0.01,,0.245,5.6,11.3,0.48,,1.16,,,,0.017,,,,0.01,,,0.006,,0.142,,,,,54.4,,,,,,,,14.3,,538.0,0.024,,0.278,0.04,,0.26,0.55,,0.86,,,3.2,,4.19,,16.8,1.48,,1.46,,,0.36,,1.39,0.001,,0.038,0.005,,0.1,0.08,,,11.6,0.002,0.002,7.92,7.66,0.0195,0.0011,0.002,0.002,0.7,,,,,15.0,0.71,,1.19,,,,,,,0.12,,0.14,1.9,,0.001,,0.004,1.4,,110.0,82.5,,84.1,0.5,,,13.8,7.4,,,,0.004,,0.007,0.02,0.02,0.51,21.3,0.023,0.026,9.22,0.884,,0.882,0.25,,1.28,,,0.036,0.22,10.0,,1.1,,
YT09AB0006,2023-06-14 11:20,50.8,2.6,,50.8,,0.069,,0.072,0.16,,0.18,57.6,,59.1,0.01,,0.01,0.001,,0.002,7.0,,6.5,,0.02,0.017,,0.025,16.9,,12.2,0.7,12.2,0.7,0.005,0.106,0.001,0.019,0.16,0.22,,0.31,0.024,,0.067,4.0,116.0,0.35,,0.26,,,,0.002,,,,0.09,,,0.005,,0.017,,,,,56.6,,,,,,,,3.5,,85.1,0.004,,0.061,0.03,,0.09,7.92,,7.67,,,3.5,,1.55,,5.57,1.12,,1.07,,,0.56,,0.77,0.001,,0.001,0.005,,0.1,0.07,,,10.8,0.002,0.002,7.88,7.57,0.0118,0.0005,0.002,0.002,0.8,,,,,9.0,0.3,,0.42,,,,,,,7.12,,7.33,1.8,,0.001,,0.003,1.3,,115.0,166.0,,170.0,7.9,,,13.9,10.3,,,,0.007,,0.011,0.01,0.01,0.06,0.63,0.005,0.008,6.2,1.02,,1.05,0.23,,0.38,,,0.02,0.105,0.4,,1.3,,
YT09AB0006,2023-07-18 11:30,44.0,6.3,,65.0,,0.102,,0.093,0.44,,0.45,26.3,,26.9,0.01,,0.01,0.001,,0.002,1.5,,1.1,,0.02,0.006,,0.006,15.6,,9.7,1.1,,,0.005,0.08,0.001,0.007,0.16,0.07,,0.21,0.008,,0.043,1.9,101.0,1.4,,0.41,,,,0.002,,,,0.1,,,0.01,,0.027,,,,,50.3,,,,,,,,6.2,,78.9,0.005,,0.042,0.04,,0.12,0.54,,0.57,,,2.8,,1.63,,4.28,1.54,,1.52,,,0.16,,0.28,0.001,,0.005,0.005,,0.11,0.04,,,9.34,0.002,0.002,7.89,8.08,0.0043,0.0005,0.002,0.002,0.5,,,,,2.0,0.78,,0.83,,,,,,,0.12,,0.12,1.4,,0.002,,0.002,1.0,,104.0,77.6,,76.3,8.2,,,16.9,16.5,,,,0.003,,0.003,0.02,0.01,0.09,2.73,0.022,0.021,1.01,0.815,,0.799,0.16,,0.3,,,0.009,0.041,0.2,,0.2,,
YT09AB0006,2023-08-07 14:00,41.5,9.1,,55.4,,0.095,,0.094,0.42,,0.46,26.6,,26.8,0.01,,0.01,0.001,,0.003,0.8,,1.9,,0.02,0.003,,0.006,14.1,,9.6,1.0,,,0.005,0.059,0.002,0.006,0.13,0.07,,0.16,0.005,,0.034,2.0,99.3,0.28,,0.4,,,,0.002,,,,0.09,,,0.009,,0.025,,,,,45.7,,,,,,,,6.9,,63.5,0.005,,0.032,0.02,,0.06,0.54,,0.59,,,2.5,,1.39,,3.47,1.56,,1.55,,,0.13,,0.25,0.001,,0.006,0.005,,0.06,0.04,,,9.3,0.002,0.002,7.9,8.12,0.0035,0.0005,0.002,0.002,0.6,,,,,2.0,0.81,,0.88,,,,,,,0.11,,0.13,1.4,,0.001,,0.001,1.2,,92.0,77.1,,74.1,7.5,,,21.5,18.6,,,,0.003,,0.005,0.01,0.01,0.11,2.28,0.022,0.024,0.94,0.759,,0.779,0.16,,0.28,,,0.006,0.03,0.2,,0.2,,
YT09AB0006,2023-09-25 13:00,42.7,6.3,,26.5,,0.09,,0.097,0.37,,0.39,26.4,,26.6,0.01,,0.01,0.001,,0.001,1.2,,1.2,,0.02,0.005,,0.005,14.1,,10.4,1.1,10.4,1.1,0.003,0.022,0.002,0.004,0.14,0.07,,0.11,0.003,,0.016,1.2,95.6,0.31,,0.32,,,,0.002,,,,0.08,,,0.015,,0.02,,,,,46.3,,,,,,,,3.5,,27.9,0.005,,0.012,0.02,,0.04,0.54,,0.57,,,2.7,,0.54,,1.84,1.45,,1.43,,,0.08,,0.12,0.001,,0.002,0.005,,0.07,0.05,,,10.2,0.002,0.002,7.79,7.9,0.003,0.0008,0.002,0.002,0.6,,,,,2.0,0.82,,0.82,,,,,,,0.12,,0.11,1.4,,0.001,,0.001,1.1,,99.0,71.9,,71.4,7.9,,,5.3,9.9,,,,0.003,,0.003,0.01,0.01,0.08,0.9,0.02,0.021,0.4,0.72,,0.705,0.14,,0.19,,,0.005,0.015,0.2,,0.2,,
YT09AB0006,2023-10-16 11:45,43.8,7.7,,61.6,,0.097,,0.096,0.42,,0.39,27.2,,28.1,0.01,,0.01,0.001,,0.001,1.1,,1.0,,0.02,0.005,,0.003,,,10.6,1.0,10.6,1.0,0.009,0.059,0.001,0.006,0.15,0.06,,0.15,0.004,,0.036,1.5,102.0,0.26,,0.36,,,,0.002,,,,0.08,,,0.014,,0.027,,,,,,48.4,,,,,,,4.5,,59.3,0.006,,0.028,0.02,,0.07,0.48,,0.53,,,,,0.58,,2.46,1.48,,1.5,,,0.11,,0.22,0.001,,0.006,0.005,,0.04,0.04,,,10.8,0.002,0.002,7.87,8.19,0.0038,0.0005,0.002,0.002,,,,,,2.0,0.8,,0.87,,,,,,,0.13,,0.15,,,0.001,,0.001,,,102.0,74.4,,74.8,7.8,,,3.0,7.6,,,,0.003,,0.003,0.01,0.01,0.08,2.21,0.032,0.027,0.8,0.738,,0.702,0.13,,0.23,,,0.009,0.025,0.2,,0.3,,
YT09AB0006,2023-11-15 12:00,44.0,5.1,,29.4,,0.095,,0.103,0.35,,0.44,27.3,,27.7,0.01,,0.01,0.001,,0.001,1.6,,1.7,,0.02,0.005,,0.006,14.5,,9.8,0.6,9.8,0.7,0.003,0.026,0.001,0.005,0.16,0.06,,0.13,0.002,,0.015,1.4,103.0,0.31,,0.41,,,,0.002,,,,0.09,,,0.014,,0.021,,,,,48.4,,,,,,,,2.7,,30.1,0.004,,0.016,0.01,,0.04,0.56,,0.59,,,3.0,,0.64,,1.55,1.45,,1.53,,,0.14,,0.24,0.001,,0.002,0.005,,0.05,0.04,,,12.7,0.002,0.002,7.79,0.01,0.0025,0.0005,0.002,0.002,0.8,,,,,2.0,0.83,,0.86,,,,,,,0.11,,0.12,1.4,,0.001,,0.001,1.1,,99.0,80.5,,81.0,8.0,,,-14.0,1.4,,,,0.003,,0.003,0.01,0.01,0.06,1.15,0.02,0.021,0.29,0.691,,0.714,0.14,,0.21,,,0.006,0.015,0.2,,0.2,,
